SampleID,ACAD Number,Sex Assignment,Location ,Region,Latitude,Site type,Bone Type,Collected From,Date,Endogenous,Endogenous2,Clonal,Raw_Mit,Uniq_Mit,Raw_Nuc,Uniq_Nuc,RatioMtNu
A95_Mega17Lib28.1,95,M,Russia,Eurasia,58.0971,Cave,Podial,Museum,,0.143272619,0.143272619,0.026655102,944,919,273450,266161,0.003452797
A96_Mega17Lib28.2,96,M,Russia,Eurasia,58.033333,Sediment,Long Bone,Museum,,0.004882673,0.004882673,0.025689161,17,17,10104,9844,0.00172694
A99_Mega17Lib28.5,99,M,Russia,Eurasia,60.42,Cave,Tooth,Museum,,0.250701542,0.250701542,0.03597744,3133,2979,618312,596108,0.004997417
A100_Mega17Lib28.6,100,M,Russia,Eurasia,54.899167,Cave,Podial,Museum,,0.033676876,0.033676876,0.022971131,504,497,80206,78359,0.006342603
A101_Mega17Lib28.7,101,M,Russia,Eurasia,60.716667,Cave,Tooth,Museum,,0.13768949,0.13768949,0.081262827,1424,1305,384472,353232,0.003694456
A102_Mega17Lib28.8,102,M,Russia,Eurasia,60.42,Cave,Tooth,Museum,,0.016066624,0.016066624,0.025354998,614,597,34527,33653,0.017739875
A104_Mega17Lib20.6,104,M,Austria,Europe,47.758637,Cave,Long Bone,Museum,,0.58894597,0.58894597,0.026700074,2252,2187,1195872,1163947,0.001878952
A105_Mega17Lib28.10,105,F,Austria,Europe,47.65,Cave,Long Bone,Museum,,0.015574272,0.015574272,0.020198689,167,164,24092,23605,0.006947681
A107_Mega17Lib20.7,107,F,Austria,Europe,47.289104,Cave,Long Bone,Museum,1273,0.122076358,0.122076358,0.024336554,48,47,122607,119623,0.000392901
A109_Mega17Lib18.1,109,M,Austria,Europe,47.807561,Cave,Long Bone,Museum,5325,0.027702584,0.027702584,0.024949799,137,133,39703,38713,0.003435538
A112_Mega17Lib20.8,112,F,Austria,Europe,47.895208,Cave,Long Bone,Museum,4744,0.26873593,0.26873593,0.055888689,4032,3763,455077,429687,0.008757537
A113_Mega17Lib20.9,113,M,Austria,Europe,47.860444,Cave,Tooth,Museum,1466,0.128329372,0.128329372,0.026326927,261,253,217121,211406,0.001196749
A114_Mega17Lib18.2,114,F,Austria,Europe,47.555023,Cave,Long Bone,Museum,1805,0.377020593,0.377020593,0.034570273,1792,1738,688541,664730,0.002614595
