sample	Rx	sex	Nx	Na	Lx	La
A710	0.909417134696	F	645	12036	148823899	2512082506
A764	0.526257410494	M	604	19343	148823899	2512082506
A858	0.493580991657	M	573	19603	148823899	2512082506
A859	0.49669542201	M	208	7070	148823899	2512082506
A860	0.466869454474	M	536	19417	148823899	2512082506
A861	0.460003551884	M	526	19347	148823899	2512082506
A862	0.934597225923	F	1040	18856	148823899	2512082506
A864	0.933561941973	F	1033	18751	148823899	2512082506
A875	0.48029853962	M	557	19598	148823899	2512082506
A885	0.962498034104	F	1076	18912	148823899	2512082506
A886	0.526441804554	M	603	19304	148823899	2512082506
A887	0.435908638481	M	499	19396	148823899	2512082506
A888	0.493767349699	M	566	19356	148823899	2512082506
A889	0.986901596628	F	753	12889	148823899	2512082506
A892	0.523623498367	M	597	19218	148823899	2512082506
A893	0.476140422406	M	543	19277	148823899	2512082506
A899	0.491412501776	M	562	19314	148823899	2512082506
A900	0.461632180798	M	520	19057	148823899	2512082506
A903	0.854942382	F	956	19037	148823899	2512082506
A914	0.476761355442	M	547	19393	148823899	2512082506
A915	0.945562483738	F	1054	18876	148823899	2512082506
A916	0.526815522236	M	394	12604	148823899	2512082506
A917	0.500125054624	M	573	19339	148823899	2512082506
A924	0.472051142484	M	257	9205	148823899	2512082506
A929	0.965423079479	F	1079	18904	148823899	2512082506
A943	0.511008697704	M	582	19212	148823899	2512082506
A945	1.04858667016	F	1174	18844	148823899	2512082506
A946	0.498001729477	M	572	19390	148823899	2512082506
A947	0.434202275712	M	492	19201	148823899	2512082506
A952	0.944412309352	F	1058	18972	148823899	2512082506
A954	0.474068062585	M	539	19221	148823899	2512082506
A955	0.884647227966	F	986	18942	148823899	2512082506
A956	0.5401485988	M	621	19360	148823899	2512082506
A976	0.462976597752	M	529	19329	148823899	2512082506
A977	0.944289430855	F	1052	18867	148823899	2512082506
A978	0.505352042808	M	578	19300	148823899	2512082506
A980	0.463606370233	M	531	19375	148823899	2512082506
A982	1.00538444998	F	1124	18865	148823899	2512082506
A983	0.449383433609	M	132	4973	148823899	2512082506
A985	0.473162728965	M	542	19366	148823899	2512082506
A987	0.48790223714	M	562	19457	148823899	2512082506
A988	0.631261780787	U	715	18970	148823899	2512082506
A989	0.484322657258	M	553	19291	148823899	2512082506
A992	0.978399592544	F	1101	19019	148823899	2512082506
A993	0.49748814751	M	566	19207	148823899	2512082506
A995	0.488316912574	M	562	19440	148823899	2512082506
A996	0.50782740046	M	582	19336	148823899	2512082506
A998	0.458342972504	M	526	19419	148823899	2512082506
A999	0.479563682841	M	545	19206	148823899	2512082506
A1003	0.509262451056	M	583	19313	148823899	2512082506
A1005	0.823347861395	F	918	19017	148823899	2512082506
A1006	0.482117040413	M	351	12302	148823899	2512082506
A1007	0.515827825172	M	592	19354	148823899	2512082506
A1009	0.485709355644	M	550	19130	148823899	2512082506
A1010	0.506200888918	M	579	19300	148823899	2512082506
A1011	0.870934023916	F	514	10038	148823899	2512082506
A1012	0.89423442027	F	698	13258	148823899	2512082506
A1013	0.485804983044	M	555	19300	148823899	2512082506
A1014	0.486645137082	M	561	19474	148823899	2512082506
A1015	0.499163297472	M	575	19445	148823899	2512082506
A1016	0.842986064361	F	939	18977	148823899	2512082506
A1019	0.452524161192	M	515	19264	148823899	2512082506
A1022	0.513184659085	M	590	19391	148823899	2512082506
A1025	0.5107751221	M	580	19155	148823899	2512082506
A1026	0.457561414833	M	530	19601	148823899	2512082506
A1030	0.500804128121	M	573	19312	148823899	2512082506
A1032	1.03064039731	F	1158	18931	148823899	2512082506
A1033	0.517563706298	M	597	19450	148823899	2512082506
A1037	0.949922040335	F	1057	18838	148823899	2512082506
A1038	1.01768233515	F	1132	18756	148823899	2512082506
A1039	0.504073100398	M	575	19250	148823899	2512082506
A1040	0.485973899781	M	547	19015	148823899	2512082506
A1041	0.939926082617	F	1031	18581	148823899	2512082506
A1042	0.424364223763	M	482	19258	148823899	2512082506
A1043	0.552691502426	M	631	19211	148823899	2512082506
A1044	0.399460984837	M	199	8459	148823899	2512082506
A1053	0.503551338457	M	572	19170	148823899	2512082506
A1059	0.488017744177	M	191	6611	148823899	2512082506
A1061	0.513564926702	M	585	19212	148823899	2512082506
A1288	0.45213994414	M	520	19468	148823899	2512082506
A1303	0.858247792896	F	956	18960	148823899	2512082506
A1438	0.472635006365	M	543	19424	148823899	2512082506
A1441	0.480722518904	M	549	19299	148823899	2512082506
A1454	0.921515400272	F	681	12532	148823899	2512082506
A1460	0.867125838986	F	972	19070	148823899	2512082506
A1468	0.483345213194	M	556	19436	148823899	2512082506
A1469	0.460677792618	M	303	11128	148823899	2512082506
A1508	0.478657742687	M	547	19314	148823899	2512082506
A1514	0.491994073756	M	388	13318	148823899	2512082506
A1517	0.94159930702	F	1044	18780	148823899	2512082506
A1518	0.840258538672	F	768	15574	148823899	2512082506
A1530	0.478095274136	M	418	14777	148823899	2512082506
A1538	0.963670639541	F	1082	18993	148823899	2512082506
A1548	0.494739065396	M	567	19351	148823899	2512082506
A1555	0.488229109737	M	561	19409	148823899	2512082506
A1558	0.806705001624	F	617	13058	148823899	2512082506
A1569	0.421634905868	M	483	19426	148823899	2512082506
A1573	0.468025095246	M	538	19440	148823899	2512082506
A2943	0.506115876005	M	578	19270	148823899	2512082506
A2946	1.02520023497	F	1143	18791	148823899	2512082506
A2949	0.96866679321	F	1081	18872	148823899	2512082506
A2960	0.518242164371	M	323	10509	148823899	2512082506
A2965	0.515335032385	M	585	19144	148823899	2512082506
A3020	0.4042365542	M	465	19527	148823899	2512082506
A3025	0.482338964981	M	157	5500	148823899	2512082506
A3036	0.494100361892	M	178	6083	148823899	2512082506
A3133	0.462264355161	M	528	19323	148823899	2512082506
A3266	0.458708376343	M	527	19440	148823899	2512082506
A6396	0.515276103504	M	597	19539	148823899	2512082506
A15672	0.522680506136	M	598	19286	148823899	2512082506
A15673	0.989716664951	F	1102	18806	148823899	2512082506
A15674	0.515636260343	M	590	19296	148823899	2512082506
A15675	0.467591764732	M	529	19133	148823899	2512082506
A16075	0.479160353795	M	539	19011	148823899	2512082506
A16077	0.501978265597	M	569	19131	148823899	2512082506
