sample	Rx	sex	Nx	Na	Lx	La
A95	0.528077293997	M	485	18976	102269301	2115901698
A96	0.508265863568	M	216	8789	102269301	2115901698
A97	0.951391895041	F	855	18637	102269301	2115901698
A99	0.470804142344	M	425	18703	102269301	2115901698
A100	0.482516212738	M	445	19097	102269301	2115901698
A101	0.520955456557	M	479	19004	102269301	2115901698
A102	0.516440503754	M	468	18734	102269301	2115901698
A104	0.527743680659	M	483	18910	102269301	2115901698
A105	0.991552528633	F	883	18432	102269301	2115901698
A107	0.981935152677	F	881	18579	102269301	2115901698
A109	0.484930793237	M	444	18957	102269301	2115901698
A112	0.954536773372	F	847	18399	102269301	2115901698
A113	0.584185579853	M	537	18941	102269301	2115901698
A114	0.993188147591	F	878	18296	102269301	2115901698
A115	1.01542648543	F	900	18324	102269301	2115901698
A116	0.909531107908	F	810	18506	102269301	2115901698
A117	0.930390206756	F	823	18363	102269301	2115901698
A119	0.949300864519	F	848	18527	102269301	2115901698
A120	0.913008109735	F	820	18660	102269301	2115901698
A123	1.00213712922	F	897	18517	102269301	2115901698
A127	0.975773830029	F	864	18341	102269301	2115901698
A130	0.527739559205	M	482	18871	102269301	2115901698
A131	0.854361958846	F	742	18095	102269301	2115901698
A132	0.474697838021	M	417	18197	102269301	2115901698
A133	0.496437392299	M	445	18549	102269301	2115901698
A134	0.598761656388	M	504	17332	102269301	2115901698
A135	0.623455963353	U	156	5146	102269301	2115901698
A136	0.450722821137	M	407	18727	102269301	2115901698
A137	0.439882879536	M	363	17123	102269301	2115901698
A138	1.20948283164	F	1028	17407	102269301	2115901698
A140	0.925241339023	F	819	18380	102269301	2115901698
A141	0.874622511049	F	775	18444	102269301	2115901698
A142	0.540994635691	M	489	18664	102269301	2115901698
A145	0.500988460141	M	457	18872	102269301	2115901698
A146	0.393114047812	M	356	18833	102269301	2115901698
A147	0.576916709703	M	450	16078	102269301	2115901698
A155	0.49030162063	M	451	19040	102269301	2115901698
A156	0.558516015826	M	475	17546	102269301	2115901698
A169	0.46316543182	M	375	16781	102269301	2115901698
A171	0.838345767517	F	468	11640	102269301	2115901698
A173	0.503506669932	M	310	12736	102269301	2115901698
A176	0.510006069868	M	431	17476	102269301	2115901698
A182	0.814556132423	F	730	18708	102269301	2115901698
A186	0.870268477113	F	777	18588	102269301	2115901698
A192	0.497699061993	M	447	18584	102269301	2115901698
A195	0.508159212086	M	418	17012	102269301	2115901698
A293	0.882987622152	F	784	18474	102269301	2115901698
A306	0.459041983242	M	418	18877	102269301	2115901698
A312	0.499536978199	M	459	19011	102269301	2115901698
A323	0.933464008289	F	828	18411	102269301	2115901698
A331	0.470498777918	M	386	16998	102269301	2115901698
A338	0.900243053797	F	312	7205	102269301	2115901698
A339	0.941899516692	F	839	18481	102269301	2115901698
A341	0.525165184289	M	290	11411	102269301	2115901698
A347	0.97745781895	F	875	18541	102269301	2115901698
A407	0.412456036817	M	123	6196	102269301	2115901698
A409	0.500082934625	M	457	18907	102269301	2115901698
A1673	0.929270516192	F	332	7417	102269301	2115901698
A1674	0.461141506635	M	401	18025	102269301	2115901698
A1675	0.546917982449	M	499	18834	102269301	2115901698
A1676	0.50427722465	M	460	18869	102269301	2115901698
