sample	Rx	sex	Nx	Na	Lx	La
A1019	0.455706842221	M	516	19163	148823899	2512082506
A1026	0.447662030587	M	514	19441	148823899	2512082506
A1027	0.651964020461	U	283	7261	148823899	2512082506
A15654	0.503642308664	M	516	17290	148823899	2512082506
A17401	0.911687887989	F	1009	18779	148823899	2512082506
A17407	0.448289038745	M	268	10122	148823899	2512082506
A17410	0.413292343102	M	466	19130	148823899	2512082506
A17413	0.484906311195	M	409	14250	148823899	2512082506
A17414	0.442663022428	M	505	19322	148823899	2512082506
A17416	0.385523216522	M	174	7670	148823899	2512082506
A17425	0.884220679287	F	512	9841	148823899	2512082506
A17427	0.472707544503	M	547	19564	148823899	2512082506
A17429	0.493321621901	M	566	19374	148823899	2512082506
A17431	0.453108197542	M	522	19500	148823899	2512082506
A17432	0.452503451746	M	211	7893	148823899	2512082506
A17434	0.4862712478	M	551	19142	148823899	2512082506
A17440	0.914907145628	F	1012	18765	148823899	2512082506
A17441	0.841623668653	F	426	8624	148823899	2512082506
A17443	0.938645391281	F	1036	18698	148823899	2512082506
A17444	0.988825638407	F	1115	19046	148823899	2512082506
A17446	0.473329159753	M	542	19359	148823899	2512082506
A17447	0.458996712369	M	523	19280	148823899	2512082506
A17449	0.546339741602	M	550	16946	148823899	2512082506
A17451	0.493707767352	M	282	9645	148823899	2512082506
A17452	0.499763022841	M	205	6924	148823899	2512082506
A17455	0.447739967638	M	321	12139	148823899	2512082506
A17456	0.472968912808	M	405	14477	148823899	2512082506
A17459	0.451917705506	M	516	19328	148823899	2512082506
A17460	0.450893186976	M	514	19298	148823899	2512082506
A17461	0.883797737689	F	395	7596	148823899	2512082506
A17462	0.48038109936	M	554	19489	148823899	2512082506
A17467	0.441488301095	M	164	6292	148823899	2512082506
A17470	0.550122357146	M	179	5476	148823899	2512082506
A17477	0.401324117192	M	288	12184	148823899	2512082506
A17478	0.522380399781	M	163	5260	148823899	2512082506
A17488	0.462481391042	M	532	19460	148823899	2512082506
A17492	0.504024689191	M	407	13627	148823899	2512082506
A17500	0.488699875351	M	350	12097	148823899	2512082506
A17505	0.892234847999	F	998	19001	148823899	2512082506
A17507	0.50880616052	M	584	19364	148823899	2512082506
A17993	0.50493335108	M	584	19517	148823899	2512082506
A17994	0.505106446016	M	466	15568	148823899	2512082506
A18675	0.458659954731	M	528	19479	148823899	2512082506
A18676	0.508878796957	M	583	19328	148823899	2512082506
A18677	0.465379754815	M	432	15701	148823899	2512082506
A18685	0.422452311705	M	272	10918	148823899	2512082506
A18686	0.916900710402	F	1034	19129	148823899	2512082506
A18687	0.914888659569	F	1026	19025	148823899	2512082506
A18688	0.493235747648	M	564	19309	148823899	2512082506
A18689	0.544079867	M	632	19556	148823899	2512082506
A18691	0.469813055453	M	534	19220	148823899	2512082506
BS326	0.504735048002	M	575	19224	148823899	2512082506
BS408	0.45802147335	M	526	19433	148823899	2512082506
