ACAD Sample Number,Genetic Sex,Sample QC'd in Online db & lab work files?,Extraction,Est. Amt. of Extract left,Bone left?,PCR,LibraryPrep,Est. Amt. of Post-Bst library left in tram barn,P5 Adapter Sequence,P7 Adapter Sequence,Tapestation File,Post-cleanup Concentration,Shotgun Sequencing Run,Sequencing Index,Shotgun Screening %Endogenous,Shotgun Screening %Clonality,Est. Amt. of PCR-amplified Library left in Darling,Capture Mito,Tapestation File,Post-cleanup Concentration,Est. Amt. of cleaned capture product left,WMG Capture Sequencing Run,Sequencing Index,Capture 10k,Tapestation File,Post-cleanup Concentration,Est. Amt. of cleaned capture product left,SNP Capture Sequencing Run,Sequencing Index,WMG?,Sample Number,Group Number,Sample Description,Category of Sample,Extracted By/Date,ACAD Location,Sample Number,Group Number,Sample Description,Category of Sample,Extracted By/Date,ACAD Location,Date of entry into ACAD,ACAD Location,Sample Number,ABC/Oxford Sample Number,Group Number,Sample Description,Genus,Species,Sub species,Category of Sample,Sample Details,Sample Notes,Region,Country,State,Locality,Specific Location,Latitude,Longitude,How location was obtained,Datum,Collection Details,Collection Notes,Date Collected,Collected by,Quality,Museum Name,Museum Accession Number,Sampled by,Date Sampled,ACAD Location,Carbon Date,Mismatch reason,Extracted By/ Date,Date of entry into ACAD,Import permit #,Notes,Sample repatriated,Bone left?,DNA extract?,Museum,Accn. No.,Radiocarbon Accn. No.,Age ,Cal,SE,N/S,Genbank #,# gens,Sample Reference,Date Source,Centre,Centre_num,Stage,Date,Error,OxCal4.2 Int13 Mean calBP,del13      ,del15      ,Sample Reference,Centre,Centre_num,Date,Error,del13      ,del15      ,Centre,Centre_num,Date,Error,del13      ,del15      ,Shapiro?,Shapiro Success?
510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04289,GP0000,0,Bison,,,Bone,R. metacarpal,,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1984,,,Canadian Museum of Nature,CMN 46592,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04234,GP0000,0,Bison,,,Bone,L. metacarpal,,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1979,,,Canadian Museum of Nature,CMN 36051,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04273,GP0000,0,Bison,,,Bone,R. metacarpal,,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1981,,,Canadian Museum of Nature,CMN 37715,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04260,GP0000,0,Bison,,,Bone,Metatarsal,Pathology?,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1981,,,Canadian Museum of Nature,CMN 37719,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Other,,Bison - Canada,,GP0000,,Other,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04545,GP0000,0,Bison,,,Other,? , good to date-horizon potl,Canada,Canada,,,"Nugget Gulch, Eld Ck",63.8833333,-139.3,Estimated from location description and coordinates listed in Harington and Morlan 2002,,,,1987,,,Canadian Museum of Nature,CMN 45575,Alan Cooper,,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04475,GP0000,0,Bison,,,Bone,metatarsal,,Canada,Canada,,,"Dawson area, Nugget Gulch",63.8833333,-139.3,Estimated from location description and coordinates listed in Harington and Morlan 2002,,,,1987,,,Canadian Museum of Nature,CMN 45575-A,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04275,GP0000,0,Bison,,,Bone,R. metacarpal,_x000B_,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1981,,,Canadian Museum of Nature,CMN 37716,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04282,GP0000,0,Bison,,,Bone,R. metacarpal,,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1984,,,Canadian Museum of Nature,CMN 47142,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04286,GP0000,0,Bison,,,Bone,R. metacarpal,,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1983,,,Canadian Museum of Nature,CMN 42278,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GP0000,,Bone,,Bison - Canada,,GP0000,,Bone,,Bison - Canada,31-May-01,Bison - Canada,0,ABC04265,GP0000,0,Bison,,,Bone,R. metacarpal,,Canada,Canada,,,Dawson area_x000B_Eldorado Creek,63.92,-139.3,From Metcalf et al. 2012 SI data,,,,1989,,,Canadian Museum of Nature,CMN 47498,Alan and Beth,28-May-00,Bison - Canada,,,0,31-May-01,200507186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
