SampleID,RetainedReads,HitsRaw,HitsUniq,Endogenous,Clonal,Raw_Mit,Uniq_Mit,Endo_Mit,Clon_Mit,Coverage_Mit,Depth_Mit,DepthStd_Mit,Length_Mit,LengthStd_Mit,Raw_Nuc,Uniq_Nuc,Endo_Nuc,Clon_Nuc,BaseCovered_Nuc,Coverage_Nuc,Depth_Nuc,DepthStd_Nuc,Length_Nuc,LengthStd_Nuc,Raw_10k,Uniq_10k,Endo_10k,Clon_10k
A1027_Bsp_RussiaKolyma_na,2172826,3833,3789,0.00176406210161,0.011479259066,115,113,5.29E-05,0.0173913043478,0.17,0.39,NA,56.31,17.3,3718,3676,0.00171113563626,0.0112963959118,NA,0,0,NA,53.6,16.23,,,,
A15637_BisonX_FranceAvenArquet_30000,23487,136,136,0.00579043726317,0,0,0,0,NA,NA,NA,NA,NA,NA,136,136,0.00579043726317,0,NA,0,0,NA,43.86,8.78,,,,
A15654_Bbcaucasicus_CaucasusKubanOblast_39calBP,53370,21472,21462,0.402323402661,0.000465722801788,12,12,0.000224845418775,0,0.05,0.05,NA,74.25,27.28,21460,21450,0.402098557242,0.000465983224604,NA,0,0,NA,71.12,24.93,,,,
A15667_Bbonasus_PolandNarewRiver_3632,12900,81,81,0.00627906976744,0,0,0,0,NA,NA,NA,NA,NA,NA,81,81,0.00627906976744,0,NA,0,0,NA,50.81,11.54,,,,
A15668_BisonX_UkraineVinnickiOblast_16356calBP,14678,16,16,0.00109006676659,0,1,1,6.81E-05,0,0,0,NA,,,15,15,0.00102193759368,0,NA,0,0,NA,47.8,10.34,,,,
A15669_Bbonasus_UkraineSokalRaionLvivOblast_1524,42149,682,681,0.0161806923059,0.00146627565982,0,0,0,NA,NA,NA,NA,NA,NA,682,681,0.0161806923059,0.00146627565982,NA,0,0,NA,71.52,24.27,,,,
A16728_Bprimigenius_Hungary_na,3048,85,85,0.0278871391076,0,1,1,0.000328083989501,0,0,0,NA,,,84,84,0.0275590551181,0,NA,0,0,NA,55.36,12.83,,,,
A17398_Bpriscus_Poland_na,372485,3933,3868,0.0105588144489,0.0165268243071,2,2,5.37E-06,0,0.01,0.01,NA,59,16.97,3931,3866,0.0105534451052,0.0165352327652,NA,0,0,NA,43.15,9.18,,,,
A17399_Bpriscus_Poland_na,638736,1487,1460,0.00232803536986,0.0181573638198,5,5,7.83E-06,0,0.02,0.02,NA,66.2,20.55,1482,1455,0.00232020740963,0.0182186234818,NA,0,0,NA,47.95,11.89,,,,
A17400_Bsp_Slovenia_BronzeAge,17997,25,24,0.00138912040896,0.04,0,0,0,NA,NA,NA,NA,NA,NA,25,24,0.00138912040896,0.04,NA,0,0,NA,72.42,22.06,,,,
A17401_Bbonasus_Slovenia_Pleistocene,2715114,21259,21001,0.00782987381009,0.0121360365022,20,20,7.37E-06,0,0.06,0.06,NA,49.3,13.05,21239,20981,0.00782250763688,0.0121474645699,NA,0,0,NA,51.86,13.92,,,,
A17402_Bpriscus_UkrainePoland_na,921841,129,128,0.00013993736447,0.0077519379845,0,0,0,NA,NA,NA,NA,NA,NA,129,128,0.00013993736447,0.0077519379845,NA,0,0,NA,50.94,16.83,,,,
A17403_Bpriscus_Poland_na,946724,371,363,0.000391877675014,0.0215633423181,0,0,0,NA,NA,NA,NA,NA,NA,371,363,0.000391877675014,0.0215633423181,NA,0,0,NA,58.84,20.4,,,,
A17404_Bpriscus_Ukraine_na,831240,276,271,0.000332034069583,0.018115942029,0,0,0,NA,NA,NA,NA,NA,NA,276,271,0.000332034069583,0.018115942029,NA,0,0,NA,42.9,11.05,,,,
A17406_Bison_Ukraine_na,1939390,2984,2942,0.00153862812534,0.0140750670241,3,3,1.55E-06,0,0.01,0.01,NA,58.67,10.26,2981,2939,0.0015370812472,0.0140892318014,NA,0,0,NA,53.25,15.87,,,,
A17407_Bbonasus_Lithuania_na,589687,11220,11044,0.0190270431602,0.0156862745098,50,48,8.48E-05,0.04,0.14,0.16,NA,54.35,17.03,11170,10996,0.0189422524153,0.0155774395703,NA,0,0,NA,53.73,17.34,,,,
A17408_Bprimigenius_Poland_40371calBP,782759,13986,13818,0.0178675684342,0.012012012012,20,20,2.56E-05,0,0.05,0.06,NA,48.9,9.3,13966,13798,0.0178420177858,0.012029213805,NA,0,0,NA,51.39,16.56,,,,
A17409_Bpriscus_Poland_na,584460,173,168,0.000295999726243,0.028901734104,0,0,0,NA,NA,NA,NA,NA,NA,173,168,0.000295999726243,0.028901734104,NA,0,0,NA,51.25,16.04,,,,
A17410_Bbonasus_France_4901calBP,2142800,56589,55835,0.0264089042374,0.0133241442683,29,28,1.35E-05,0.0344827586207,0.1,0.1,NA,60.79,18.24,56560,55807,0.0263953705432,0.0133132956153,NA,0,0,NA,60.84,19.95,,,,
A17411_Bbonasus_Russia_19543calBP,49,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,,,,
A17412_Bbonasus_Switzerland_31255calBP,790445,256,253,0.000323868200824,0.01171875,0,0,0,NA,NA,NA,NA,NA,NA,256,253,0.000323868200824,0.01171875,NA,0,0,NA,51.13,15.74,,,,
A17413_Bbonasus_BulgariaPonor_3808calBP,807425,15904,15706,0.0196971854971,0.0124496981891,6,6,7.43E-06,0,0.03,0.03,NA,78.17,17.86,15898,15700,0.0196897544664,0.0124543967795,NA,0,0,NA,60.4,16.87,,,,
A17414_Bbonasus_BulgariaPonor_3854calBP,745274,315111,311463,0.422812281121,0.0115768729115,218,217,0.000292509868854,0.0045871559633,0.49,0.78,NA,58.94,17.15,314893,311246,0.422519771252,0.0115817118831,NA,0.01,0.01,NA,60.79,19.69,,,,
A17415_Bprimigenius_GermanyGladbeck_10433calBP,2592764,1090,1075,0.000420400776931,0.0137614678899,5,5,1.93E-06,0,0.02,0.02,NA,64.4,20.27,1085,1070,0.000418472333001,0.0138248847926,NA,0,0,NA,55,17.64,,,,
A17416_BisonAurochs_Hungary_na,3633407,5234,5162,0.00144052125182,0.0137562094001,5,4,1.38E-06,0.2,0.01,0.01,NA,46,4.16,5229,5158,0.00143914513293,0.0135781220119,NA,0,0,NA,53.07,16.17,,,,
A17418_Bprimigenius_Switzerland_Neolith,2430094,102,97,4.20E-05,0.0490196078431,0,0,0,NA,NA,NA,NA,NA,NA,102,97,4.20E-05,0.0490196078431,NA,0,0,NA,48.8,13.97,,,,
A17419_Bbonasus_Switzerland_Neolith,814011,127,126,0.000156017547674,0.00787401574803,0,0,0,NA,NA,NA,NA,NA,NA,127,126,0.000156017547674,0.00787401574803,NA,0,0,NA,50.5,14.75,,,,
A17420_Bbonasus_Switzerland_Neolith,731694,755,750,0.00103185211304,0.00662251655629,0,0,0,NA,NA,NA,NA,NA,NA,755,750,0.00103185211304,0.00662251655629,NA,0,0,NA,61.34,22.74,,,,
A17421_Bbonasus_Switzerland_5746calBP,945215,1262,1243,0.00133514597208,0.0150554675119,3,2,3.17E-06,0.333333333333,0.01,0.01,NA,42,7.07,1259,1241,0.00133197209101,0.0142970611597,NA,0,0,NA,45.54,12.73,,,,
A17422_Bbonasus_Switzerland_Neolith,834090,200,195,0.000239782277692,0.025,1,1,1.20E-06,0,0,0,NA,,,199,194,0.000238583366303,0.0251256281407,NA,0,0,NA,48.47,14.88,,,,
A17423_Bbonasus_Switzerland_Neolith,892,1,1,0.00112107623318,0,0,0,0,NA,NA,NA,NA,NA,NA,1,1,0.00112107623318,0,NA,0,0,NA,,,,,,
A17424_Bbonasus_Austria_2795calBP,2137512,887,872,0.000414968430587,0.0169109357384,1,1,4.68E-07,0,0,0,NA,,,886,871,0.000414500596956,0.0169300225734,NA,0,0,NA,54.16,16.58,,,,
A17425_Bbonasus_Austria_6708calBP,2135822,3874,3845,0.00181382156378,0.00748580278782,9,9,4.21E-06,0,0.03,0.03,NA,55.78,12.23,3865,3836,0.00180960772948,0.00750323415265,NA,0,0,NA,52.68,14.5,,,,
A17426_Bbonasus_Austria_1996calBP,671541,950,939,0.00141465673727,0.0115789473684,2,2,2.98E-06,0,0.01,0.01,NA,51.5,9.19,948,937,0.00141167851256,0.0116033755274,NA,0,0,NA,50.46,12.56,,,,
A17427_Bbonasus_Austria_2045calBP,582208,40786,40291,0.0700540013191,0.0121365174325,32,32,5.50E-05,0,0.11,0.12,NA,59.91,14.65,40754,40259,0.0699990381444,0.0121460470138,NA,0,0,NA,66.9,19.93,,,,
A17429_Bbonasus_Austria_2233calBP,856134,181105,178664,0.211538147066,0.013478368902,109,107,0.000127316518209,0.0183486238532,0.34,0.42,NA,64.32,16.14,180996,178557,0.211410830548,0.0134754359212,NA,0,0,NA,64.69,18.49,,,,
A17430_Bbonasus_Denmark_1382calBP,1921210,516,510,0.000268580738181,0.0116279069767,0,0,0,NA,NA,NA,NA,NA,NA,516,510,0.000268580738181,0.0116279069767,NA,0,0,NA,47.79,13.83,,,,
A17431_BisonX_DenmarkFynOdense_10890calBP,2209059,24306,24022,0.0110028749798,0.0116843577717,23,22,1.04E-05,0.0434782608696,0.07,0.07,NA,53.41,10.17,24283,24000,0.0109924633068,0.0116542437096,NA,0,0,NA,48.69,12.69,,,,
A17432_Bbonasus_Denmark_na,459712,8549,8366,0.0185964255882,0.0214060123991,14,14,3.05E-05,0,0.04,0.04,NA,46.07,7.1,8535,8352,0.0185659717388,0.0214411247803,NA,0,0,NA,42.29,8.63,,,,
A17433_Bbonasus_Denmark_11515calBP,887484,136,136,0.000153242199296,0,0,0,0,NA,NA,NA,NA,NA,NA,136,136,0.000153242199296,0,NA,0,0,NA,52.83,19.46,,,,
A17434_Bbonasus_Lithuania_550BP,865358,37834,37412,0.0437206335413,0.011153988476,67,67,7.74E-05,0,0.23,0.27,NA,64.97,21.67,37767,37345,0.0436432089378,0.0111737760479,NA,0,0,NA,65.62,22.44,,,,
A17435_Bbonasus_Lithuania_691calBP,836715,1407,1390,0.00168157616393,0.0120824449183,0,0,0,NA,NA,NA,NA,NA,NA,1407,1390,0.00168157616393,0.0120824449183,NA,0,0,NA,54.19,15.23,,,,
A17436_Bbonasus_Lithuania_639calBP,910053,562,559,0.000617546450591,0.00533807829181,0,0,0,NA,NA,NA,NA,NA,NA,562,559,0.000617546450591,0.00533807829181,NA,0,0,NA,51.63,14.78,,,,
A17437_Bbonasus_Poland_2031calBP,834222,384,375,0.000460309126348,0.0234375,1,1,1.20E-06,0,0,0,NA,,,383,374,0.000459110404664,0.023498694517,NA,0,0,NA,50.74,13.98,,,,
A17438_Bbonasus_Poland_607calBP,816729,2991,2954,0.0036621694589,0.0123704446673,6,6,7.35E-06,0,0.02,0.02,NA,54.33,18.34,2985,2948,0.00365482308085,0.0123953098827,NA,0,0,NA,55.78,16.9,,,,
A17439_Bprimigenius_Poland_859,1409963,340778,336525,0.241692867118,0.0124802657449,672,669,0.000476608251422,0.00446428571429,0.87,2.72,NA,66.44,20.23,340106,335856,0.241216258866,0.0124961041558,NA,0.01,0.01,NA,66.4,21.45,,,,
A17440_Bbonasus_PolandNienawiszcz_2113calBP,747823,43235,42696,0.0578144828389,0.0124667514745,37,37,4.95E-05,0,0.11,0.12,NA,51.43,16.17,43198,42659,0.0577650058904,0.0124774295106,NA,0,0,NA,48.98,12.16,,,,
A17441_Bbonasus_PolandNapole_825calBP,740054,9682,9584,0.0130828290909,0.0101218756455,15,15,2.03E-05,0,0.04,0.05,NA,50.73,8.87,9667,9569,0.0130625602997,0.0101375814627,NA,0,0,NA,55.08,16.78,,,,
A17442_Bbonasus_Lithuania_619calBP,727111,690,679,0.000948961025208,0.0159420289855,3,3,4.13E-06,0,0.01,0.01,NA,54,12.17,687,676,0.000944835107707,0.0160116448326,NA,0,0,NA,48.36,12.9,,,,
A17443_Bbonasus_Lithuania_515calBP,837991,369178,364399,0.440551270837,0.0129449750527,330,327,0.000393798978748,0.00909090909091,0.57,1.02,NA,50.99,14.06,368848,364072,0.440157471858,0.0129484231987,NA,0.01,0.01,NA,51.69,15.56,,,,
A17444_Bbonasus_Lithuania_na,915756,550415,543806,0.601049842971,0.01200730358,773,759,0.000844111313494,0.0181112548512,0.81,2.52,NA,54.26,14.78,549642,543047,0.600205731658,0.0119987191663,NA,0.01,0.01,NA,55.53,17.34,,,,
A17445_Bprimigenius_Lithuania_na,684856,125796,124367,0.183682409149,0.0113596616745,179,177,0.000261368813298,0.0111731843575,0.48,0.69,NA,63.63,18.97,125617,124190,0.183421040335,0.0113599273984,NA,0,0,NA,64.81,19.19,,,,
A17446_Bbonasus_Lithuania_na,893411,22693,22407,0.0254004036216,0.012603005332,133,130,0.000148867654417,0.0225563909774,0.34,0.43,NA,54.56,16.21,22560,22277,0.0252515359672,0.0125443262411,NA,0,0,NA,55.05,17.02,,,,
A17447_Bbonasus_Lithuania_na,887623,54798,53963,0.0617356693101,0.0152377824008,162,159,0.000182509916935,0.0185185185185,0.36,0.51,NA,52.43,14.88,54636,53804,0.0615531593931,0.0152280547624,NA,0,0,NA,48.14,12.43,,,,
A17448_Bbonasus_Moldova_14438calBP,687765,1834,1811,0.00266660850727,0.0125408942203,6,5,8.72E-06,0.166666666667,0.02,0.02,NA,58.2,21.04,1828,1806,0.00265788459721,0.0120350109409,NA,0,0,NA,69.83,26.42,,,,
A17449_Bbonasus_PolandBarzykowo_1443calBP,2737986,30469,18617,0.0111282526645,0.388985526273,11493,4337,0.00419761094469,0.622639867746,0.97,17.05,NA,64.04,19.93,18976,14280,0.00693064171986,0.247470489039,NA,0,0,NA,58.86,17.8,,,,
A17450_Bbonasus_Poland_620calBP,805766,241,239,0.000299094277991,0.00829875518672,0,0,0,NA,NA,NA,NA,NA,NA,241,239,0.000299094277991,0.00829875518672,NA,0,0,NA,54.49,16.26,,,,
A17451_Bbonasus_Lithuania_644calBP,773257,9973,9853,0.0128973937514,0.0120324877168,2,2,2.59E-06,0,0.01,0.01,NA,63,32.53,9971,9851,0.0128948072892,0.0120349012135,NA,0,0,NA,55.68,17.18,,,,
A17452_Bbonasus_Lithuania_603calBP,950429,7599,7521,0.00799533684263,0.010264508488,7,7,7.37E-06,0,0.02,0.02,NA,52.86,16.68,7592,7514,0.0079879717475,0.0102739726027,NA,0,0,NA,53.54,13.96,,,,
A17453_Bbonasus_Lithuania_531calBP,755682,794,785,0.00105070651412,0.0113350125945,1,1,1.32E-06,0,0,0,NA,,,793,784,0.00104938320616,0.0113493064313,NA,0,0,NA,52.18,14.78,,,,
A17454_Bprimigenius_Lithuania_606calBP,1690197,234578,231898,0.138787372123,0.0114247712914,528,519,0.000312389620855,0.0170454545455,0.8,2.03,NA,63.92,23.95,234050,231379,0.138474982502,0.0114120914335,NA,0.01,0.01,NA,63.34,23.13,,,,
A17455_Bbonasus_Poland_3366calBP,1827351,4017,3979,0.00219826404451,0.00945979586756,2,2,1.09E-06,0,0.01,0.01,NA,51.5,14.85,4015,3977,0.00219716956403,0.00946450809465,NA,0,0,NA,51.15,13.46,,,,
A17456_Bbonasus_Poland_529calBP,825334,16270,16082,0.0197132312494,0.0115550092194,20,20,2.42E-05,0,0.07,0.07,NA,58.7,20.08,16250,16062,0.0196889986357,0.0115692307692,NA,0,0,NA,55.87,16.8,,,,
A17457_Bbonasus_Poland_907calBP,283343,821,790,0.0028975482013,0.0377588306943,1,1,3.53E-06,0,0,0,NA,,,820,789,0.00289401890994,0.0378048780488,NA,0,0,NA,46.03,10.12,,,,
A17458_Bbonasus_Poland_707calBP,797464,4743,4685,0.00594760390438,0.0122285473329,9,9,1.13E-05,0,0.03,0.03,NA,49.78,14.05,4734,4676,0.00593631812847,0.0122517955218,NA,0,0,NA,50.84,14.01,,,,
A17459_Bbonasus_Poland_563calBP,862583,45915,45316,0.0532296602182,0.0130458455842,94,94,0.000108975020375,0,0.26,0.32,NA,55.31,16.8,45821,45222,0.0531206851978,0.0130726086292,NA,0,0,NA,55.11,16.88,,,,
A17460_Bbonasus_Poland_591calBP,825741,93602,92425,0.113355156157,0.0125745176385,86,85,0.000104148879612,0.0116279069767,0.23,0.28,NA,53.33,14.39,93516,92340,0.113251007277,0.0125753881689,NA,0,0,NA,52.87,14.74,,,,
A17461_Bbonasus_Poland_na,804742,8752,8662,0.0108755352647,0.0102833638026,18,18,2.24E-05,0,0.05,0.06,NA,51.11,12,8734,8644,0.0108531678476,0.0103045569041,NA,0,0,NA,55.68,18.82,,,,
A17462_Bbonasus_Poland_na,790945,140137,138525,0.177176668416,0.0115030291786,98,96,0.000123902420522,0.0204081632653,0.26,0.31,NA,53.56,14.44,140039,138429,0.177052765995,0.0114967973207,NA,0,0,NA,54.43,16.47,,,,
A17463_Bbonasus_Poland_1335calBP,691686,631,624,0.000912263657209,0.0110935023772,1,1,1.45E-06,0,0,0,NA,,,630,623,0.000910817914487,0.0111111111111,NA,0,0,NA,49.25,13.64,,,,
A17465_Bbonasus_Poland_5620calBP,2011573,207,206,0.000102904542863,0.0048309178744,0,0,0,NA,NA,NA,NA,NA,NA,207,206,0.000102904542863,0.0048309178744,NA,0,0,NA,50.22,15.99,,,,
A17466_Bbonasus_Poland_2250calBP,771865,1677,1656,0.00217265972677,0.0125223613596,4,4,5.18E-06,0,0.01,0.01,NA,58,15.19,1673,1652,0.00216747747339,0.0125523012552,NA,0,0,NA,46.56,12.09,,,,
A17467_Bbonasus_Poland_2040calBP,854721,6773,6695,0.00792422322606,0.0115163147793,17,16,1.99E-05,0.0588235294118,0.04,0.05,NA,52.25,9.78,6756,6679,0.00790433369485,0.011397276495,NA,0,0,NA,45.25,11.27,,,,
A17468_Bbonasus_Poland_854calBP,3161478,1381,1357,0.000436821005871,0.0173787110789,3,3,9.49E-07,0,0.01,0.01,NA,55.33,16.2,1378,1354,0.000435872082615,0.0174165457184,NA,0,0,NA,58.97,18.27,,,,
A17469_Bprimigenius_Poland_7073calBP,806982,2629,2597,0.00325781739865,0.0121719284899,14,14,1.73E-05,0,0.04,0.04,NA,45,6.74,2615,2583,0.00324046880847,0.0122370936902,NA,0,0,NA,44.69,9.98,,,,
A17471_Bbonasus_Switzerland_Neolith,941813,187,185,0.000198553215978,0.0106951871658,0,0,0,NA,NA,NA,NA,NA,NA,187,185,0.000198553215978,0.0106951871658,NA,0,0,NA,50.28,15.11,,,,
A17472_Bbonasus_Switzerland_Neolith,865455,54,54,6.24E-05,0,0,0,0,NA,NA,NA,NA,NA,NA,54,54,6.24E-05,0,NA,0,0,NA,47.76,10.66,,,,
A17473_Bbonasus_Switzerland_Neolith,890183,261,259,0.000293198140158,0.00766283524904,0,0,0,NA,NA,NA,NA,NA,NA,261,259,0.000293198140158,0.00766283524904,NA,0,0,NA,54.4,17.37,,,,
A17474_Bbonasus_Switzerland_Neolith,4356553,675,656,0.000154939007973,0.0281481481481,1,1,2.30E-07,0,0,0,NA,,,674,655,0.000154709468702,0.0281899109792,NA,0,0,NA,47,13.44,,,,
A17475_Bprimigenius_Switzerland_Neolith,4497623,1112,1097,0.000247241709676,0.0134892086331,0,0,0,NA,NA,NA,NA,NA,NA,1112,1097,0.000247241709676,0.0134892086331,NA,0,0,NA,54.45,18.37,,,,
A17476_Bbonasus_Sweden_10787calBP,536127,378,372,0.000705056824223,0.015873015873,0,0,0,NA,NA,NA,NA,NA,NA,378,372,0.000705056824223,0.015873015873,NA,0,0,NA,59.62,23.95,,,,
A17477_Bbonasus_Sweden_10615calBP,3022985,6592,6495,0.00218062610301,0.0147148058252,8,8,2.65E-06,0,0.03,0.03,NA,55.12,13.92,6584,6487,0.00217797971211,0.0147326852977,NA,0,0,NA,55.58,17.23,,,,
