SampleID	Rx	sex	SiteType	Sampled_by	Date	Latitude	SampleCategory	ShotgunEndo	ShotgunClonality					
A15654_Bbcaucasicus_CaucasusKubanOblast_39calBP	0.529594293	M	NA	Julien_Soubrier	39	43.585181	Crania	0.402323403	0.000465723					
A1469_Bisonspp_BossHillArchsitenearStettlerSAlberta_138	0.489563062	M	NA	Alan_Cooper	138	52.311	Longbone	0.008927191	0.044454991					
A17681_Bantiquus_Alberta	0.488688214	M	NA	Bastien_Llamas	205	53.933269	Petrosal	0.630315464	0.030004359					
A17443_Bbonasus_Lithuania_515calBP	0.95020057	F	NA	E._Hofman-Kami_ska	515	54.652312	Longbone	0.440551271	0.012944975					
A17456_Bbonasus_Poland_529calBP	0.506753577	M	NA	E._Hofman-Kami_ska	529	54.087109	Crania	0.019713231	0.011555009					
A17434_Bbonasus_Lithuania_550BP	0.516908977	M	NA	E._Hofman-Kami_ska	550	54.652312	Crania	0.043720634	0.011153988					
A17459_Bbonasus_Poland_563calBP	0.485414422	M	NA	E._Hofman-Kami_ska	563	53.17812	Crania	0.05322966	0.013045846					
A17460_Bbonasus_Poland_591calBP	0.485576474	M	NA	E._Hofman-Kami_ska	591	53.17812	Crania	0.113355156	0.012574518					
A17452_Bbonasus_Lithuania_603calBP	0.523899449	M	NA	E._Hofman-Kami_ska	603	54.555393	Crania	0.007995337	0.010264508					
A17454_Bprimigenius_Lithuania_606calBP	0.515310744	M	NA	E._Hofman-Kami_ska	606	54.652312	Astralagus	0.138787372	0.011424771					
A17451_Bbonasus_Lithuania_644calBP	0.50693715	M	NA	E._Hofman-Kami_ska	644	55.986978	Crania	0.012897394	0.012032488					
A17441_Bbonasus_PolandNapole_825calBP	0.848903662	F	NA	E._Hofman-Kami_ska	825	53.151969	Astralagus	0.013082829	0.010121876					
A17439_Bprimigenius_Poland_859	0.861621063	F	NA	E._Hofman-Kami_ska	859	54.352025	NA	0.241692867	0.012480266					
A17684_Bpriscus_HitchingPostRanchAB_1184	0.474011961	M	NA	Bastien_Llamas	1184	51.399567	Petrosal	0.548255336	0.001963497					
A17449_Bbonasus_PolandBarzykowo_1443calBP	0.892439504	F	NA	E._Hofman-Kami_ska	1443	53.404036	Crania	0.011128253	0.388985526					
A18688_Bbonasus_Austria_2018	0.487049863	M	NA	E._Hofman-Kami_ska	2018	47.559539	Crania	0.616108347	0.010966517					
A17467_Bbonasus_Poland_2040calBP	0.451517793	M	NA	E._Hofman-Kami_ska	2040	50.041187	Crania	0.007924223	0.011516315					
A17427_Bbonasus_Austria_2045calBP	0.497905134	M	Swamp	E._Hofman-Kami_ska	2045	46.63861	Crania	0.070054001	0.012136517					
A17440_Bbonasus_PolandNienawiszcz_2113calBP	0.90599782	F	NA	E._Hofman-Kami_ska	2113	52.682238	Longbone	0.057814483	0.012466751					
A1030_Bisonspp_BlackRiverEnglishoebankNorth_2202	0.503109101	M	Riverine	Alan_and_Beth	2202	66.654	NA	0.090141507	0.009110101					
A17429_Bbonasus_Austria_2233calBP	0.505395297	M	Swamp	E._Hofman-Kami_ska	2233	48.210033	Crania	0.211538147	0.013478369					
A983_Bisonspp_BraeburnYukon_2549BHC10	0.462313948	M	Swamp	Alan_and_Beth	2549	61.547	Crania	0.012828476	0.03332106					
A17686_Bpriscus_HitchingPost_2669	0.467807888	M	NA	Bastien_Llamas	2669	51.399567	Petrosal	0.547626284	0.049137002					
A1538_Bisonspp_HitchingPostRanchCalgaryAB_2908	1.007452879	F	NA	Alan_and_Beth	2908	51.400	Crania	0.03191169	0.010953098					
A862_Bisonspp_NatTrapCaveWY_3378	0.987956379	F	Pitfall	Alan_Cooper	3378	44.897	Longbone	0.188494927	0.067431625					
A982_Bisonspp_NatTrapCaveWY_3448	1.011772288	F	Pitfall	Alan_Cooper	3448	44.897	Longbone	0.559450995	0.041454062					
A18161_Bisonspp_ExtinctionAManitobaCA_3519	0.515657986	M	Cave	Jim_Burns	3519	50.318717	NA	0.219825034	0.012500648					
A764_Bisonathabascae_FortYukon_ND	0.55907136	M	NA	Alan_Cooper	3791	66.561192	Crania	0.042811461	0.009325388					
A17413_Bbonasus_BulgariaPonor_3808calBP	0.518065909	M	NA	E._Hofman-Kami_ska	3808	43.033433	Crania	0.019697185	0.012449698					
A17414_Bbonasus_BulgariaPonor_3854calBP	0.486389658	M	NA	E._Hofman-Kami_ska	3854	43.033433	Crania	0.422812281	0.011576873					
A17683_Bpriscus_HitchingPost	0.466109872	M	NA	Bastien_Llamas	4188	51.399567	Petrosal	0.386991965	0.019188511					
A17682_Bpriscus_HitchingPost	0.473145436	M	NA	Bastien_Llamas	4881	51.399567	Petrosal	0.462030869	0.019955653					
A17410_Bbonasus_France_4901calBP	0.490675284	M	NA	E._Hofman-Kami_ska	4901	46.334191	Crania	0.026408904	0.013324144					
A17694_Bpriscus_BlackRiverAK_4958	0.488763631	M	Riverine	Bastien_Llamas	4958	66.733333	Petrosal	0.628565545	0.000438738					
A892_Bisonspp_BaillieIsNWT_7005	0.534386964	M	Marine	Alan_Cooper	7005	70.594	NA	0.112032712	0.099122877					
A3036_Bpriscus_Minnesota_7530	0.508263028	M	NA	Alan_Cooper	7530	45.674444	Longbone	0.109030479	0.000628536					
A3020_Bpriscus_Minnesota_7642	0.453225472	M	NA	Alan_Cooper	7642	45.674444	Longbone	0.312507424	0.033273317					
A18163_Bisonspp_ChinaBowl262ManitobaCA_7794	0.988039974	F	Cave	Jim_Burns	7794	50.592894	NA	0.031042495	0.011895584					
A1518_Bisonspp_StampedeSiteCypressHillsAlberta_7937	0.822524003	F	NA	Alan_Cooper	7937	49.63	Astralagus	0.025978975	0.022113985					
A1441-BHC23-15_Bisonspp_EgPn-377TuscanySiteCalgaryAlberta_8110	0.522982982	M	NA	Alan_Cooper	8110	51.123	Longbone	0.14408341	0.020231196					
A3025_Bpriscus_Minnesota_8113	0.495442777	M	NA	Alan_Cooper	8113	45.674444	Longbone	0.1142371	0.000692761					
A893_Bisonspp_PorcupineRiverCave_10127	0.526224556	M	Cave	Alan_and_Beth	10127	67.031	Longbone	0.315432458	0.154571849					
A17479_Bprimigenius_Sweden_10288calBP	0.52051132	M	NA	E._Hofman-Kami_ska	10288	55.513128	NA	0.0142414	0.011148166					
A17431_BisonX_DenmarkFynOdense_10890calBP	0.483457803	M	NA	E._Hofman-Kami_ska	10890	55.232642	NA	0.011002875	0.011684358					
A889_Bisonspp_Canada_CharlieLake_12146	0.982136988	F	Cave	Alan_Cooper	12146	56.2763889	Longbone	0.207497115	0.000722335					
A993_Bisonspp_1WillistonLakeH.aRo.T1_12357	0.509622674	M	Lacustrine	Alan_Cooper	12357	55.969	Longbone	0.358665055	0.039120955					
A887_Bisonpriscus_NorthSlopeIkpikpukRiver_12463	0.486251017	M	Riverine	Alan_and_Beth	12463	70.81	Longbone	0.473018475	0.005359877					
A859_Bisonspp_GkRh2nearChetwin_13111	0.508188643	M	GravelPit	Alan_Cooper	13111	55.683	Longbone	0.004592934	0.065628001					
A899_Bpriscus_NorthSlopeIkpikpukRiver_13640	0.483430469	M	Riverine	Alan_and_Beth	13640	70.81	Longbone	0.02870204	0.027019566					
A1303_Bisonspp_BlackRiverYukonFlatsCanada_13716	0.879193414	F	Riverine	Alan_Cooper	13716	66.654	Crania	0.111750245	0.008316287					
A886_Bisonpriscus_NorthSlopeIkpikpukRiver_14209	0.530407597	M	Riverine	Alan_and_Beth	14209	70.81	Longbone	0.191214682	0.056291447					
A1007_Bisonspp_LostChickenCkAlaska_14382	0.525159182	M	Riverine	Alan_Cooper	14382	64.06	Longbone	0.283763364	0.034624517					
A976_Bisoncrassicornis_OldCrowRiverLoc11_14408	0.497878269	M	Riverine	Alan_and_Beth	14408	67.57	Crania	0.111000427	0.041917503					
A980_Bisonspp_LostChickenCkAlaska_14451	0.495164006	M	Riverine	Alan_Cooper	14451	64.06	Longbone	0.424463256	0.011332365					
A885_Bpriscus_Alaska_14625	0.925239078	F	Riverine	Alan_Cooper	14625	64.0533333	Longbone	0.030874442	0.010769075					
A998_Bisonspp_LostChickenCkAlaska_14759	0.50100801	M	Riverine	Alan_Cooper	14759	64.06	Longbone	0.026064624	0.027722999					
A16121_Bpriscus_YukonIndCkPetrous_14799	0.493455946	M	Riverine	Cooper/Rabanus/Soubrier	14799	64.0563833	Petrosal	0.613799992	0.068473714					
A1010_Bisonspp_LostChickenCkAlaska_15046	0.51054306	M	Riverine	Alan_Cooper	15046	64.06	Longbone	0.1441953	0.010474826					
A1013_Bisonspp_LostChickenCkAlaska_15440	0.498655191	M	Riverine	Alan_Cooper	15440	64.06	Longbone	0.402947286	0.007523275					
A977_Bisonspp_bisoncaveQYukonTerritory_15495	0.975839333	F	Cave	Alan_Cooper	15495	64.05	Longbone	0.452674452	0.01086563					
A1009-BHC23-07_Bisonspp_LostChickenCkAlaska_15497	0.506553238	M	Riverine	Alan_Cooper	15497	64.06	Longbone	0.34506811	0.010564291					
A864_Bisonspp_BisonCaveFishingBranch_15607	0.903082698	F	Cave	Alan_Cooper	15607	66.45	Longbone	0.302212389	0.010790745					
A903_Bisonspp_ChatanikaAlaska_15747	0.873235627	F	Riverine	Alan_and_Beth	15747	65.12	Longbone	0.200507457	0.011120455					
A1041-BHC24-04_Bisonspp_BisonCaveFishingBranch_15769	0.941238172	F	Cave	Alan_Cooper	15769	66.45	Longbone	0.440878651	0.014967209					
A888_Bisonspp_LostChickenCkAlaska_15807	0.500900034	M	Riverine	Alan_Cooper	15807	64.06	Longbone	0.404183334	0.014238351					
A985_Bisonspp_LowerKolymaSiberia_17783	0.475034564	M	Riverine	Alan_Cooper	17783	68.6166667	Longbone	0.549235236	0.008074544					
A15673_Bpriscus_KuropatochiyaRSiberia_19385	0.962631466	F	Riverine	Julien_Soubrier	19385	70.5	NA	0.582955531	0.009660623					
A992-BHC23-02_Bisonspp_LostChickenCkAlaska_19549	1.001529891	F	Riverine	Alan_Cooper	19549	64.06	Longbone	0.342104326	0.010680266					
A2943_Bisonpriscus_NorthSlopeIkpikpukRiver_20703	0.525801875	M	Riverine	Alan_and_Beth	20703	70.81	Longbone	0.074063928	0.010564451					
A861-BHC24-11_Bisonspp_LostChickenCkAlaska_21751	0.550656393	M	Riverine	Alan_Cooper	21751	64.06	Longbone	0.280482458	0.015329563					
A858-BHC23-05_Bisonpriscus_NorthSlopeIkpikpukRiver_23378	0.480609717	M	Riverine	Alan_and_Beth	23378	70.81	Longbone	0.145832331	0.03724095					
A989_Bisonspp_SewardPeninsulaAlderCreek_23378	0.498553942	M	Riverine	Alan_and_Beth	23378	65.063	Longbone	0.110420729	0.007352011					
A1046_Bisonspp_WyomingNTC_24502	0.522755568	M	Cave	Alan_and_Beth	24502	44.9733333	Longbone	0.005434861	0.086530477					
A1569_Bisonspp_LowerGoldStream_24953	0.484815406	M	Riverine	Alan_and_Beth	24953	65.57	Longbone	0.381371717	0.008696337					
A916_Bisonspp_LowerEldoradoCreekAlaska_25255	0.590686001	M	Riverine	Alan_and_Beth	25255	65.057	Longbone	0.004025931	0.042063536					
A915-BHC24-07_Bisonpriscus_NorthSlopeIkpikpukRiver_25388	0.946079996	F	Riverine	Alan_and_Beth	25388	70.81	Astralagus	0.149038483	0.258420887					
A1015-BHC23-06_Bisonspp_DawsonareaGoldRunCreek_25800	0.529726743	M	Riverine	Alan_and_Beth	25800	63.6	Longbone	0.113280003	0.010240387					
A1005_Bisonspp_FairbanksCkAlaska_26345	0.834967408	F	Riverine	Alan_Cooper	26345	65.04	NA	0.020307079	0.009922329					
A17692_Bpriscus_ElephantPoint_26485	0.492111773	M	Marine	Bastien_Llamas	26485	66.257407	Petrosal	0.643135594	0.253410427					
A16119_BpriscusCanyonCkPetrous	0.927209949	F	Riverine	Cooper/Rabanus/Soubrier	26716	64.056383	Petrosal	0.593918721	0.158759403					
A1438_Bisonspp_bepenexSiberia_27357	0.498794034	M	NA	Ian_Barnes	27357	69.9	Longbone	0.227987635	0.014890942					
A1573_Bisonspp_EsterCreekAlaska_27607	0.48482511	M	Riverine	Alan_and_Beth	27607	64.84	Longbone	0.052934845	0.102446266					
A995_Bisonspp_BolshoiHomoosUriakhRiverSiberia_27861	0.499026241	M	Riverine	Ian_Barnes	27861	71.16	NA	0.307135633	0.013820459					
A1043_Bisonspp_LostChickenCkAlaska_29005	0.532235051	M	Riverine	Alan_Cooper	29005	64.06	Longbone	0.583798411	0.01475915					
A15672_Bpriscus_AlazeyaRSiberia_29838	0.518523445	M	Riverine	Julien_Soubrier	29838	69.4	Crania	0.066425843	0.010777235					
A17690_Bpriscus_LostChickenCk_30276	0.91808209	F	Riverine	Bastien_Llamas	30276	64.064494	Petrosal	0.628785173	0.207465995					
A978-BHC23-09_Bisonspp_LostChickenCkAlaska_30497	0.522130616	M	Riverine	Alan_Cooper	30497	64.06	Longbone	0.49176165	0.015031739					
A3133_Bpriscus_Yukon_30612	0.493241142	M	Riverine	Alan_Cooper	30612	63.158	Astralagus	0.462899303	0.664797603					
A945-BHC23-11_Bisonspp_DawsonareaHesterCreek_31083	1.011613534	F	Riverine	Alan_and_Beth	31083	63.99	Longbone	0.245432743	0.033807108					
A1510_Bisonpriscus_NorthSlopeIkpikpukRiver_31296	0.498619166	M	Riverine	Alan_and_Beth	31296	70.81	Longbone	0.017481236	0.02134205					
