Order	Species	MCAll	MCp	MCpf	MCc	MCg	MCh	AlloAll	SM	BMf	LT	GT	IBI	BMn	BMw	BMin	LS	LpY	ML	NoC
Rodentia	Abeomelomys_sevia	0	0	0	0	0	0	0	0	58.3999999848855	NA	NA	NA	NA	NA	NA	1	NA	NA	3
Rodentia	Abrothrix_longipilis	0	0	0	0	0	0	0	0	36.9300000296788	NA	NA	16.9999999851929	3.29000000037897	NA	NA	3.69999999942923	21.1764705692668	NA	70
Rodentia	Abrothrix_olivaceus	0	0	0	0	0	0	0	0	21.0499999916784	NA	NA	NA	NA	NA	NA	5.33999999964888	2.00000000154742	NA	58
Carnivora	Acinonyx_jubatus	0	0	0	0	0	0	0	0	59999.9999469977	132.999987454084	91.4113241470251	547.499844292528	454.210000497842	NA	NA	3.0000000019365	0.657534433928634	19.0000000020637	1528
Rodentia	Acomys_cahirinus	1	0	0	0	1	1	0	0	32.0000015974484	27.0000022282286	38.0189396320561	34.0000064945877	5.49999999374079	12.3100000019468	6.81000000136758	2.75999999958553	7.59999999508625	4.99999999613144	665
Rodentia	Acomys_russatus	0	0	0	0	0	0	0	0	41.0000000264587	NA	NA	NA	NA	NA	NA	2.5000000018879	NA	NA	170
Rodentia	Acomys_wilsoni	0	0	0	0	0	0	0	0	20.0000000154742	NA	NA	NA	3.49000000032803	10	6.51000000647273	2.2899999982078	7.89999999471675	5.59999999992005	13
Diprotodontia	Acrobates_pygmaeus	0	0	0	0	0	0	0	0	12.7000000012879	97.5000000676792	NA	183.00000011359	0.01	3.44000000339386	3.4299999996622	2.79999999779363	2.00000000154742	8.79999999695717	74
Artiodactyla	Aepyceros_melampus	0	0	0	0	0	0	0	0	45150.0047147136	150.000014141667	196.788628970685	365.000113916701	5245.00000568133	14563.7999907492	9318.79999979904	1	0.986301062566411	17.3999999886777	1289
Rodentia	Aethomys_chrysophilus	0	0	0	0	0	0	0	1	142.999999846869	24.8799999989241	26.1700000217003	NA	4.42999999772459	30.9899999829255	26.5600000185929	3.08999999697731	NA	NA	82
Rodentia	Aethomys_hindei	0	0	0	0	0	0	0	0	134.999999846128	NA	24.6599999852531	NA	NA	NA	NA	2.04999999973682	NA	NA	9
Rodentia	Aethomys_ineptus	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16
Carnivora	Ailuropoda_melanoleuca	0	0	0	0	0	0	0	0	96999.9999405342	178.980000104799	134.989999893746	638.749999790019	104.390000099628	21999.9899789481	21895.6000221226	1.62000000170607	0.563600783266142	30.000000019365	1399
Carnivora	Ailurus_fulgens	0	0	0	0	0	0	0	0	4900.00022533164	136.874989856626	131.21998990192	365.000113916701	106.500000055236	NA	NA	1.84999999828325	1	14.0000000103724	374
Artiodactyla	Alcelaphus_buselaphus	0	0	0	0	0	0	1	0	146499.991671311	190.104151016503	242.661009508242	345.499958862293	12499.9999997681	47894.4599952078	35394.4600124365	1	1.04196828670648	19.0000000020637	367
Artiodactyla	Alcelaphus_lichtensteinii	0	0	0	0	0	0	0	0	164999.999918731	NA	236.999999994486	364.999999616359	14999.9999980768	NA	NA	0.980000000693896	0.986301369157145	NA	10
Artiodactyla	Alces_alces	0	0	0	0	0	0	0	0	421500.020419416	106.458342462166	236.047823318058	365.000113916701	13249.9999916763	86299.9599165561	73049.9600902326	1.49999999980768	1.69999999851929	26.9999999901158	10095
Primates	Allenopithecus_nigroviridis	0	0	0	0	0	0	0	0	3201.66666314243	106.150000121717	NA	NA	240.710000067454	NA	NA	1.01000000050549	NA	32.399999984586	32
Primates	Alouatta_caraya	0	0	0	0	0	0	1	0	4602.50002992721	55.9999965176919	187.06821403658	337.625313144504	261.999999807105	NA	NA	1	1.06627076281695	20.3000000040566	545
Primates	Alouatta_palliata	0	0	0	0	0	0	1	0	5590.88888440974	495.600000337755	185.420000110838	684.370000660426	318.28999983923	1053.75000089096	735.459999297596	1.02000000055917	0.526031240185131	26.9999999901158	813
Primates	Alouatta_seniculus	0	0	0	0	0	0	1	0	5599.9996517692	368.80211247514	190.985325856624	424.312669982713	295.000000014833	NA	NA	1	0.848430946470605	25.000000018879	444
Rodentia	Ammospermophilus_leucurus	0	0	0	0	0	0	0	0	100.400000044155	64.5100000157379	29.3799999692708	NA	2.90000000067472	34.9899999610935	32.0899999929432	8.00000000014841	1.24999999997681	5.80000000583697	99
Rodentia	Ammospermophilus_nelsoni	0	0	0	0	0	0	0	0	NA	29.8299999751313	26.0000000017471	NA	4.86999999759318	41.0000000264587	36.1300000359373	8.90000000727681	1	NA	19
Artiodactyla	Ammotragus_lervia	0	0	0	0	0	0	0	0	69999.9935504642	121.66666393892	156.314764264096	212.916834127791	4500.00000232781	NA	NA	1.35000000156977	1.6908010194104	21.7000000075684	235
Dasyuromorphia	Antechinus_agilis	0	0	0	0	0	0	0	0	NA	89.9900000381551	26.9999999901158	364.999999616359	NA	10	10	10	0.986301369157145	4.70000000069568	90
Dasyuromorphia	Antechinus_minimus	0	0	0	0	0	0	0	0	42.0000009286054	87.5000094648862	27.9254384123734	365.000113916701	0.039999999969794	NA	NA	7.19999999285017	1	NA	41
Dasyuromorphia	Antechinus_stuartii	0	0	0	0	0	0	0	0	23.2000008071278	91.2500056459924	30.7609681474071	365.000113916701	0.016000000012676	16.0000000126762	15.9840000043464	7.25000000716172	1	3.0000000019365	385
Artiodactyla	Antidorcas_marsupialis	0	0	0	0	0	0	0	0	27899.9997896972	121.000008270217	169.433780044733	365.000113916701	3909.99999643597	NA	NA	1.00500000056347	0.986301062566411	20.0000000154742	499
Artiodactyla	Antilocapra_americana	0	0	0	0	0	0	1	0	44999.9985726495	91.2500056459924	247.742205763329	365.000113916701	3455.00000230535	9661.99999665172	6206.99999449186	2.00000000154742	1	11.9999999986841	829
