Continent	Status	Order	FAMILY	Genus	Species	Mass
AUS	introduction	Artiodactyla	Bovidae	Bos	javanicus	475000.000
AUS	introduction	Artiodactyla	Bovidae	Bubalus	bubalis	825000.000
AUS	introduction	Artiodactyla	Bovidae	Capra	hircus	33500.000
AUS	introduction	Artiodactyla	Camelidae	Camelus	dromedarius	800000.000
AUS	introduction	Artiodactyla	Cervidae	Axis	porcinus	35000.000
AUS	introduction	Artiodactyla	Cervidae	Axis	axis	69500.000
AUS	introduction	Artiodactyla	Cervidae	Cervus	timorensis	63000.000
AUS	introduction	Artiodactyla	Cervidae	Cervus	elaphus	119500.000
AUS	introduction	Artiodactyla	Cervidae	Cervus	unicolor	169000.000
AUS	introduction	Artiodactyla	Cervidae	Dama	dama	48500.000
AUS	introduction	Artiodactyla	Suidae	Sus	scrofa	86250.000
AUS	introduction	Carnivora	Felidae	Felis	silvestris	4250.000
AUS	introduction	Lagomorpha	Leporidae	Oryctolagus	cuniculus	1580.000
AUS	introduction	Perissodactyla	Equidae	Equus	asinus	325000.000
AUS	introduction	Rodentia	Muridae	Mus	musculus	16.500
AUS	introduction	Rodentia	Muridae	Rattus	rattus	280.000
AUS	introduction	Rodentia	Muridae	Rattus	norvegicus	320.000
AUS	introduced	Carnivora	Canidae	Vulpes	vulpes	5950.000
AF	historical	Artiodactyla	Bovidae	Hippotragus	leucophaeus	150000.000
AF	historical	Perissodactyla	Equidae	Equus	quagga	400000.000
AF	historical	Artiodactyla	Bovidae	Eudorcas	rufina	40000.000
AF	historical	Rodentia	Muridae	Leimacomys	buettneri	55.000
AUS	historical	Dasyuromorphia	Dasyuridae	Sarcophilus	harrisii	10000.000
AUS	historical	Dasyuromorphia	Thylacinidae	Thylacinus	cynocephalus	30000.000
AUS	historical	Chiroptera	Pteropodidae	Pteropus	brunneus	200.000
AUS	historical	Diprotodontia	Potoroidae	Potorous	platyops	500.000
AUS	historical	Diprotodontia	Macropodidae	Lagorchestes	leporides	3000.000
AUS	historical	Peramelemorphia	Peramelidae	Chaeropus	ecaudatus	200.000
AUS	historical	Diprotodontia	Macropodidae	Lagorchestes	asomatus	1500.000
AUS	historical	Diprotodontia	Potoroidae	Caloprymnus	campestris	900.000
AUS	historical	Diprotodontia	Macropodidae	Macropus	greyi	10000.000
AUS	historical	Peramelemorphia	Peramelidae	Perameles	eremiana	500.000
AUS	historical	Diprotodontia	Macropodidae	Onychogalea	lunata	3500.000
AUS	historical	Peramelemorphia	Peramelidae	Macrotis	leucura	354.000
AUS	historical	Rodentia	Muridae	Conilurus	albipes	200.000
AUS	historical	Rodentia	Muridae	Leporillus	apicalis	150.000
AUS	historical	Rodentia	Muridae	Notomys	amplus	90.000
AUS	historical	Rodentia	Muridae	Notomys	macrotis	90.000
AUS	historical	Rodentia	Muridae	Notomys	mordax	90.000
AUS	historical	Rodentia	Muridae	Notomys	longicaudatus	100.000
AUS	historical	Rodentia	Muridae	Notomys	spp1	500.000
AUS	historical	Rodentia	Muridae	Pseudomys	glaucus	-999.000
AUS	historical	Rodentia	Muridae	Pseudomys	fieldi	45.000
AUS	historical	Rodentia	Muridae	Pseudomys	gouldii	50.000
AUS	historical	Rodentia	Muridae	Pseudomys	spp 1	50.000
EA	historical	Artiodactyla	Bovidae	Gazella	arabica	12000.000
