sample	Rx	sex	Nx	Na	Lx	La
GilbertM1	0.41924510795	M	3993	242813	120050768	3050898245
GilbertM2	0.446739059697	M	3877	221011	120050768	3050898245
GilbertM3	0.447892149346	M	2847	161870	120050768	3050898245
GilbertM4	0.459777620393	M	3967	219616	120050768	3050898245
GilbertM5	0.441874262145	M	3500	201755	120050768	3050898245
M6	0.485869527692	M	73083	3824731	120050768	3050898245
M7	0.909831517884	F	9167	256961	120050768	3050898245
GilbertM8	0.423281276269	M	1893	113997	120050768	3050898245
M8	0.473810703313	M	10835	581747	120050768	3050898245
M9	0.924093762008	F	79886	2203498	120050768	3050898245
M10	0.896621022651	F	2040	58056	120050768	3050898245
M11	0.905238021245	F	4473	126042	120050768	3050898245
M12	0.47642862049	M	5011	267542	120050768	3050898245
GilbertM13	0.774746053147	U	10895	360548	120050768	3050898245
M14	0.965564212542	F	8140	214533	120050768	3050898245
GilbertM15	0.810114168263	F	2951	93265	120050768	3050898245
M15	0.893541921382	F	2254	64375	120050768	3050898245
M17	0.484857504792	M	204612	10730957	120050768	3050898245
GilbertM18	0.469124439503	M	3032	164449	120050768	3050898245
M18	0.497831492501	M	1351	68972	120050768	3050898245
GilbertM19	0.486715675639	M	20004	1045036	120050768	3050898245
GilbertM20	0.898111399604	F	322	9148	120050768	3050898245
GilbertM21	0.777645574147	U	11277	371756	120050768	3050898245
GilbertM22	0.483552183718	M	2342	123165	120050768	3050898245
M22	0.487027103614	M	2354	122896	120050768	3050898245
M23	0.503237342244	M	160317	8094950	120050768	3050898245
GilbertM25	0.633208541456	U	16741	668367	120050768	3050898245
M25	0.469820783048	M	9171	496664	120050768	3050898245
GilbertM26	0.460954286414	M	3002	165761	120050768	3050898245
M26	0.484248558573	M	41342	2170976	120050768	3050898245
M27	0.979292322692	F	14462	375606	120050768	3050898245
M28	0.552921906858	M	104924	4812475	120050768	3050898245
M30	0.476475906017	M	415	22155	120050768	3050898245
M32	0.491361093145	M	131606	6809031	120050768	3050898245
E460	0.498230174052	M	178325	9096519	120050768	3050898245
E461	0.922292619619	F	84004	2321774	120050768	3050898245
E462	0.765322318902	U	1878	62937	120050768	3050898245
E463	0.493497097815	M	12587	648353	120050768	3050898245
E464	0.492198873514	M	221973	11464513	120050768	3050898245
E465	0.501555990021	M	15914	806299	120050768	3050898245
E466	0.976921980851	F	29864	777580	120050768	3050898245
E467	0.495436638473	M	190971	9797608	120050768	3050898245
E468	0.510396590422	M	36467	1815003	120050768	3050898245
E469	0.498506887323	M	13412	683771	120050768	3050898245
E470	0.489838621264	M	30830	1600136	120050768	3050898245
E471	0.485021991939	M	12505	655603	120050768	3050898245
L152	0.497686313031	M	33172	1694019	120050768	3050898245
L155	0.949951400079	F	39585	1061076	120050768	3050898245
L156	0.476315032304	M	42908	2291455	120050768	3050898245
L157	0.879698003483	F	470	13642	120050768	3050898245
L158	0.480325429977	M	45126	2389407	120050768	3050898245
L161	0.56435218296	M	205	9208	120050768	3050898245
L163	0.989589818144	F	145858	3747276	120050768	3050898245
L164	1.037946534	F	247037	6039498	120050768	3050898245
L166	0.496582923141	M	8401	429992	120050768	3050898245
L269	0.875053725871	F	3137	91553	120050768	3050898245
L270	0.893106841138	F	2763	78952	120050768	3050898245
L273	0.507773160707	M	778	38926	120050768	3050898245
L278	0.488201734477	M	1236	64370	120050768	3050898245
L281	0.488293404803	M	55638	2897033	120050768	3050898245
L380	0.498616388467	M	4356	222028	120050768	3050898245
L382	0.897278833986	F	3202	91056	120050768	3050898245
L385	0.930675197821	F	140362	3843238	120050768	3050898245
L386	0.482080656411	M	170940	9017640	120050768	3050898245
L387	0.92295034312	F	176243	4867557	120050768	3050898245
L399	0.483622763448	M	5211	274004	120050768	3050898245
L401	0.491322411305	M	1051	54381	120050768	3050898245
L402	0.483421548509	M	5737	301790	120050768	3050898245
L403	0.495728596952	M	6014	308358	120050768	3050898245
L405	0.487806607821	M	1472	76724	120050768	3050898245
L406	0.496900409383	M	1126	57595	120050768	3050898245
L410	0.48807605895	M	36383	1895298	120050768	3050898245
L411	0.513246318978	M	417	20637	120050768	3050898245
L417	0.484146571355	M	12398	651191	120050768	3050898245
L421	0.484505018364	M	477	25035	120050768	3050898245
L424	0.8792863341	F	682	19805	120050768	3050898245
L425	0.654266515343	U	412	15906	120050768	3050898245
L450	0.895308260591	F	20812	593184	120050768	3050898245
L459	0.515064029754	M	1061	52319	120050768	3050898245
L463	0.494992206539	M	1817	93305	120050768	3050898245
L465	0.473008971627	M	17402	935952	120050768	3050898245
L468	0.488518592838	M	26616	1385226	120050768	3050898245
L469	0.499337511746	M	766	38986	120050768	3050898245
L476	0.90479013845	F	2209	62278	120050768	3050898245
L477	0.499897235258	M	4731	240512	120050768	3050898245
L478	0.509329821974	M	971	48431	120050768	3050898245
L479	0.474835865008	M	3870	207329	120050768	3050898245
L483	0.515645075095	M	519	25563	120050768	3050898245
P001	0.483687157622	M	87	4574	120050768	3050898245
P003	0.479666787499	M	23112	1225485	120050768	3050898245
P004	0.483412766048	M	58879	3097337	120050768	3050898245
P005	1.01010069742	F	219180	5512218	120050768	3050898245
P007	0.994562399402	F	137430	3512410	120050768	3050898245
P008	0.495602729577	M	464	23797	120050768	3050898245
P009	0.466344842836	M	61169	3337811	120050768	3050898245
P010	0.470841760477	M	61334	3314264	120050768	3050898245
P011	0.485588492924	M	1814	94990	120050768	3050898245
P013	0.89186304326	F	4630	132492	120050768	3050898245
