ID,Age (calBP),Material,Locality,Total,chrX,chr8
GilbertM1,nd,hair,Siberia - unknown,246806,3993,8896
GilbertM5,nd,hair,Siberia - unknown,205255,3500,7760
GilbertM20,>63500,hair,New Siberian Islands,9470,322,354
GilbertM21,>58000,hair,New Siberian Islands,383033,11277,13122
GilbertM25,60495,hair,Yakutia,685108,16741,25526
GilbertM22,50304,hair,New Siberian Islands,125507,2342,4630
L155,49999,tooth,Chaun Bay - Kyttyk Peninsula,1100661,39585,43237
L156,49466,femur,Chaun Bay - Kyttyk Peninsula,2334363,42908,93522
L417,48182,tooth,Wrangel Island,663589,12398,27357
GilbertM8,46962,hair,Magadan,115890,1893,4375
E470,41632,bone,Wrangel Island,1630966,30830,68135
GilbertM13,40418,hair,Lena River,371443,10895,13416
L161,37117,,Chaun Bay - Kyttyk Peninsula,9413,205,349
L166,35344,tusk,Chaun Bay - Nagleyngyveem River,438393,8401,18082
L157,32799,,Chaun Bay - Kyttyk Peninsula,14112,470,562
L270,32611,tooth,Chaun Bay - Nagleyngyveem River,81715,2763,3310
L476,31228,bone,Wrangel Island,64487,2209,2511
L163,30525,tusk,Chaun Bay - Pineyveem River,3893134,145858,150565
L281,29737,tibia,Chaun Bay - Ayon Island,2952671,55638,120277
GilbertM26,28769,hair,Indigirka,168763,3002,6674
L278,27724,,Chaun Bay - Nagleyngyveem River,65606,1236,2624
E471,26700,bone,Wrangel Island,668108,12505,27585
P003,25060,tooth,New Siberian Islands,1248597,23112,49249
GilbertM3,24833,hair,Taimyr,164717,2847,6241
GilbertM2,24507,hair,Taimyr,224888,3877,8812
M6,24063,tooth,Wrangel Island,3897814,73083,158663
L152,23891,tooth,Chaun Bay - Mosey Island,1727191,33172,70908
GilbertM19,22434,hair,Yakutia,1065040,20004,41020
GilbertM4,22422,hair,Siberia - unknown,223583,3967,8573
M7,21846,bone,Wrangel Island,266128,9167,10527
GilbertM18,20655,hair,Gydan Peninsula,167481,3032,6532
L273,18276,tusk,Pegtymel River,39704,778,1659
L269,17321,vertebra,Chaun Bay - Ayon Island,94690,3137,3712
GilbertM15,16996,hair,Chaun Bay - Ayon Island,96216,2951,3608
L164,16901,tusk,Chaun Bay - Pineyveem River,6286535,247037,248435
P010,16049,tusk,New Siberian Islands,3375598,61334,139387
P008,15619,tooth,New Siberian Islands,24261,464,954
P009,15602,tusk,New Siberian Islands,3398980,61169,135157
M8,15523,tooth,Wrangel Island,592582,10835,24303
L158,14419,humerus,Chaun Bay - Pineyveem River,2434533,45126,98312
L410,14408,tooth,Wrangel Island,1931681,36383,78716
P007,14324,tusk,New Siberian Islands,3649840,137430,142863
M9,13872,tooth,Wrangel Island,2283384,79886,97579
P005,12775,tusk,New Siberian Islands,5731398,219180,223308
P013,12555,tibia,Taimyr,137122,4630,5483
P004,12169,tusk,New Siberian Islands,3156216,58879,129087
P011,11972,tusk,Taimyr,96804,1814,4002
P001,10908,tusk,New Siberian Islands,4661,87,186
M10,10077,bone,Wrangel Island,60096,2040,2436
L406,10062,tooth,Wrangel Island,58721,1126,2433
M11,9957,bone,Wrangel Island,130515,4473,5209
L477,9518,tusk,Wrangel Island,245243,4731,10215
L479,9408,bone,Wrangel Island,211199,3870,8740
L478,9017,,Wrangel Island,49402,971,2037
M12,8886,tooth,Wrangel Island,272553,5011,11197
L380,8874,tusk,Wrangel Island,226384,4356,9185
L450,8871,bone,Wrangel Island,613996,20812,24290
L483,8825,tusk,Wrangel Island,26082,519,1048
L465,8703,tusk,Wrangel Island,953354,17402,39387
M14,8677,tusk,Wrangel Island,222673,8140,9023
L468,8491,bone,Wrangel Island,1411842,26616,57571
M15,8491,tusk,Wrangel Island,66629,2254,2645
L411,8483,tooth,Wrangel Island,21054,417,856
L405,8378,,Wrangel Island,78196,1472,3183
M17,8318,tooth,Wrangel Island,10935569,204612,453821
M18,8075,tooth,Wrangel Island,70323,1351,2856
L399,7846,,Wrangel Island,279215,5211,11378
L425,7644,tooth,Wrangel Island,16318,412,639
L401,7474,tooth,Wrangel Island,55432,1051,2276
M23,7470,tusk,Wrangel Island,8255267,160317,342341
M22,7469,tooth,Wrangel Island,125250,2354,5041
M25,7408,bone,Wrangel Island,505835,9171,20673
L386,7336,tooth,Wrangel Island,9188580,170940,377539
M26,7194,tooth,Wrangel Island,2212318,41342,91146
L403,7081,tooth,Wrangel Island,314372,6014,13040
L459,7060,tusk,Wrangel Island,53380,1061,2212
L424,6441,tooth,Wrangel Island,20487,682,834
M28,6380,tusk,Wrangel Island,4917399,104924,199653
L463,6247,tusk,Wrangel Island,95122,1817,3901
L385,6074,tooth,Wrangel Island,3983600,140362,159583
L469,5977,tooth,Wrangel Island,39752,766,1670
M27,5952,tusk,Wrangel Island,390068,14462,15565
L387,5601,tooth,Wrangel Island,5043800,176243,200351
L421,5600,tooth,Wrangel Island,25512,477,1047
M30,5468,tooth,Wrangel Island,22570,415,956
L402,5178,tooth,Wrangel Island,307527,5737,13159
L382,5166,bone,Wrangel Island,94258,3202,3753
M32,5131,tooth,Wrangel Island,6940637,131606,283375
E460,4969,tusk,Wrangel Island,9274844,178325,383132
E461,4959,bone,Wrangel Island,2405778,84004,95991
E462,4934,tusk,Wrangel Island,64815,1878,2687
E463,4820,tooth,Wrangel Island,660940,12587,27399
E464,4726,tooth,Wrangel Island,11686486,221973,481503
E465,4643,tusk,Wrangel Island,822213,15914,34258
E466,4354,tusk,Wrangel Island,807444,29864,33485
E467,4336,tooth,Wrangel Island,9988579,190971,413702
E468,4079,tusk,Wrangel Island,1851470,36467,77667
E469,4024,tooth,Wrangel Island,697183,13412,29054
