Species	MaleCare	MaleProv	Monotocous	BodyMass	LitterSize	TeatRatio	NeonateMass	WeanMass	InterBirthInterval	LittersYear	AnnualFecundity
Acinonyx_jubatus	0	0	0	50577.92	3.28	0.32	441.66		547.5		
Acomys_cahirinus	1	0	0	41.16	2.43	0.48	5.49	12.31	34	7.6	18.47
Aepyprymnus_rufescens	0	0	1	2810.31	1.03				117	3	3.09
Ailuropoda_melanoleuca	0	0	0	117999.99	1.62		104.39	21999.99	638.75		
Ailurus_fulgens	0	0	0	5170.08	1.7	0.43	104.04		365	1	1.7
Akodon_azarae	0	0	0	25.27	4.59					1.25	5.74
Alouatta_palliata	0	0	1	6576.99	1.02	0.5	318.29	1053.75	684.37		
Alouatta_pigra	1	0	1	7172.06	1.01	0.5	480				
Alouatta_seniculus	0	0	1	6398.31	1.42		293.42		507.35		
Antechinomys_laniger	0	0	0	25.57	5.99				183	1.5	8.99
Antechinus_flavipes	0	0	0	44.33	8.54				365	1	8.54
Antechinus_minimus	0	0	0	52.56	7.19		0.03		365	1	7.19
Antechinus_stuartii	0	0	0	29.01	6.89		0.01	16	365	1	6.89
Antechinus_swainsonii	0	0	0	58.69	8.24			8.83	365	1	8.24
Aotus_azarae	1	1	1	929.57	1		80		365		
Aotus_nancymaae	1	1	1	791.03	1.02		80				
Aotus_trivirgatus	1	1	1	912.4	1.06	0.53	96.49	255.99	271		
Apodemus_sylvaticus	0	0	0	21.9	5.16		1.5		41.28	3.75	19.35
Arctictis_binturong	0	0	0	12999.99	2.5	0.5	317.35		317.6		
Artibeus_cinereus	0	0	1	12.7	0.99						
Artibeus_jamaicensis	0	0	1	43.63	1		10.57			2	2
Ateles_fusciceps	1		1	9067.94	1.01		499.9		851.66		
Ateles_geoffroyi	1		1	7582.4	1.01		425.85	3478.06	1048.15		
Atilax_paludinosus	0	0	0	3600.16	2	0.5	100	549.99	182.5	2	4
Baiomys_taylori	1	0	0	7.43	2.52		1.15		23	10	25.2
Balantiopteryx_plicata	0	0	1	6.57	0.99		2			1	1
Bassariscus_astutus	1	1	0	1010.37	3	0.75	27.74	258.7	365	1	3
Bettongia_gaimardi	0	0	1	1667.55	1	0.25	0.3	516.43	106.5		
Bettongia_lesueur	0	0	1	1447.27	1	0.25	0.31	303.31	119.5	3	3
Bettongia_penicillata	0	0	1	1184.35	1	0.25	0.28	256.9	102	3	3
Bettongia_tropica	0	0	1	1256.58	1	0.25		200	100		
Bunopithecus_hoolock	0	0	1	6699	1.01						
Burramys_parvus	0	0	0	44.27	3.6	0.9		16	365	1	3.6
Callicebus_cupreus	1		1	1117.02	1.01		73.6		395.41		
Callicebus_moloch	1	1	1	958.13	1.01	0.5	74.4		365		
Callicebus_torquatus	1	1	1	1209.57	1.01	0.5			365		
Callimico_goeldii	1	1	1	558	1.05		50.5	120.02	182.5	2	2.1
Callithrix_jacchus	1	1	0	290.21	2.31	1.2	27.74	96.82	159.8		
Callithrix_pygmaea	1	0	0	123.94	1.93	0.97	14.5	70	182.5		
Calomys_laucha	1	0	0	14	5.3	0.88					
Calomys_musculinus	0	0	0	20.2	6.27	0.9					
Caluromys_derbianus	0	0	0	326.72	3.14	0.44					
Caluromys_philander	0	0	0	246.47	4.18	0.61	0.2	23	166.5	2	8.36
Canis_adustus	1		0	10392.49	4.5	0.56					
Canis_aureus	1		0	9658.7	3.74	0.47	211.82		365		
Canis_latrans	1	1	0	11989.1	5.72	0.71	200.01		365	1	5.72
