sample	sex	site_type	material	material2	lat	lon	alt	age	endog	Nx	Na	Lx	La	GC	readlen	C2T	G2A
A1003	M	Sediment	NA	NA	71.16	153.45	-9.9	47323	0.203818273493	583	19313	148823899	2512082506	0.424723	62.0651	0.19315	0.211338
A1005	F	Sediment	FlatBone	Postcrania	65.04	212.89	260	26345	0.0203070794421	918	19017	148823899	2512082506	0.466627	55.2887	0.151907	0.151807
A1006	M	Sediment	Foot	Postcrania	62.3422222	222.7397222	705.3	NA	0.0293410557294	351	12302	148823899	2512082506	0.445074	55.3865	0.357437	0.332072
A1007	M	Sediment	Leg	Postcrania	64.06	218.11	494.9	14382	0.283763363936	592	19354	148823899	2512082506	0.429635	64.1036	0.135388	0.11479
A1009	M	Sediment	Leg	Postcrania	64.06	218.11	494.9	15497	0.345068110162	550	19130	148823899	2512082506	0.439214	59.0784	0.124719	0.111812
A1010	M	Sediment	Leg	Postcrania	64.06	218.11	494.9	15046	0.144195300241	579	19300	148823899	2512082506	0.434155	61.9387	0.0620645	0.114458
A1011	F	Sediment	Foot	Postcrania	64.016667	220.9	400	NA	0.0287099699196	514	10038	148823899	2512082506	0.439477	59.6165	0.321818	0.165017
A1012	F	Sediment	Foot	Postcrania	64.03	220.8	360.2	33191	0.0279325536809	698	13258	148823899	2512082506	0.442286	64.0459	0.267081	0.322025
A1013	M	Sediment	Foot	Postcrania	64.06	218.11	494.9	15440	0.402947286419	555	19300	148823899	2512082506	0.449554	58.7978	0.115564	0.116928
A1014	M	Sediment	Foot	Postcrania	63.75	220.88	449.9	34692	0.0948732402911	561	19474	148823899	2512082506	0.413401	56.0321	0.0272097	0.0698603
A1015	M	Sediment	Foot	Postcrania	63.6	221.5	599.1	25800	0.113280003273	575	19445	148823899	2512082506	0.419355	60.0721	0.17424	0.132636
A1016	F	Sediment	Leg	Postcrania	NA	NA	NA	NA	0.00952939550531	939	18977	148823899	2512082506	0.462586	61.993	0.207679	0.177739
