lat	lon	elevation
70.777081	-154.392445	1.1
70.81	-154.41	0.6
55.683	-121.63	585
70.81	-154.41	0.6
64.06	-141.89	494.9
44.897	-108.151	1199.2
66.45	-138.53	487.4
64.0533333	-141.8766667	572.9
70.81	-154.41	0.6
70.81	-154.41	0.6
64.06	-141.89	494.9
56.2763889	-120.9375	741.1
70.594	-128.22	2
67.031	-143.068	204.4
70.81	-154.41	0.6
64.0078	-139.3419	460.6
65.12	-147.487	215.7
70.81	-154.41	0.6
70.81	-154.41	0.6
65.057	-147.531	281.8
64.84	-147.96	159.7
64.0	-141.1666667	952.1
64.0533333	-141.8766667	572.9
44.9733333	-108.1930556	1511.1
63.99	-139.042	420
63.92	-139.3	489.7
69.13185	-153.594574	151.1
68.6166667	159.1333333	45.7
68.6166667	159.1333333	45.7
67.57	-139.08	339.8
64.05	-139.423	320
64.06	-141.89	494.9
64.06	-141.89	494.9
44.897	-108.151	1199.2
61.547	-135.826	683.4
68.6166667	159.1333333	45.7
68.275	161.25	3.6
65.063	-166.18	107.7
64.06	-141.89	494.9
55.969	-123.782	681.9
71.16	153.45	-9.9
68.6166667	159.1333333	45.7
64.06	-141.89	494.9
68.275	161.25	3.6
71.16	153.45	-9.9
65.04	-147.11	260
62.3422222	-137.2602778	705.3
64.06	-141.89	494.9
64.06	-141.89	494.9
64.06	-141.89	494.9
64.016667	-139.1	400
64.03	-139.2	360.2
64.06	-141.89	494.9
63.75	-139.12	449.9
63.6	-138.5	599.1
64.0052778	-139.0858333	416
72.5	127.5	4
66.654	-143.722	160.4
63.8838889	-139.2738889	643.5
70.81	-154.41	0.6
64.9166666667	-147.966666667	167.3
71.16	153.45	-9.9
72.5	127.5	4
71.10863	129.915322	-1.2
66.45	-138.53	487.4
70.81	-154.41	0.6
64.06	-141.89	494.9
66.277	-143.183	169.7
70.81	-154.41	0.6
66.654	-143.722	160.4
68.6166667	159.1333333	45.7
62.33	-137.2805556	869.1
66.654	-143.722	160.4
69.9	133.9	408.1
51.123	-114.247	1178.7
70.81	-154.41	0.6
64.017222	161.801389	904.2
68.6166667	159.1333333	45.7
52.311	-112.622	811
64.0	-139.1	485.8
69.25	-132.283	
70.81	-154.41	0.6
49.63	-110.21	1428
63.9426	-138.6238	461.4
51.4	-114.486	1235.3
60.729	-135.083	685.5
70.81	-154.41	0.6
49.63	-110.21	1428
65.57	-148.38	360
64.84	-147.96	159.7
70.81	-154.41	0.6
70.81	-154.41	0.6
70.81	-154.41	0.6
70.81	-154.41	0.6
70.81	-154.41	0.6
45.674444	-94.813889	368.8
45.674444	-94.813889	368.8
45.674444	-94.813889	368.8
63.158	-139.316	997.5
63.0	-139.0	1097.4
64.05	-139.53	544.6
69.4	155.0	4.2
70.5	156.8	14
67.492621	153.764794	16.1
67.492621	153.764794	16.1
63.9833333	-139.0352778	539.3
64.056383	-139.429619	339
64.0563833	-139.4296194	339
64.0563833	-139.4296194	339
63.8838889	-139.2738889	643.5
64.0563833	-139.4296194	339
64.0563833	-139.4296194	339
63.8189	-139.0683	531
64.0563833	-139.4296194	339
63.8189	-139.0683	531
63.8189	-139.0683	531
63.82	-139.0358333	551.6
64.0563833	-139.4296194	339
51.399567	-114.493552	1234.7
51.399567	-114.493552	1234.7
51.399567	-114.493552	1234.7
51.399567	-114.493552	1234.7
51.399567	-114.493552	1234.7
65.5125	-148.577777778	172.3
65.5125	-148.577777778	172.3
64.064494	-141.899984	517.2
64.064494	-141.899984	517.2
66.257407	-161.349094	2.6
65.31839	-142.799925	211.8
66.733333	-143.75	161
56.157222	84.940556	101.8
61.01371	99.196656	423.2
43.585181	45.0	229.6
46.03041	14.80185	313.2
54.652312	24.933632	145
46.334191	6.058036	623.1
43.033433	23.216867	1080.7
43.033433	23.216867	1080.7
47.130036	21.460144	89.4
48.6562	16.4129	218.1
46.63861	14.4475	453.1
48.210033	16.363449	177.5
55.232642	10.144987	19.5
55.401959	9.981806	43
54.652312	24.933632	145
52.682238	16.994798	94
53.151969	18.951692	88.8
54.652312	24.933632	145
54.652312	24.933632	145
54.652312	24.933632	145
54.652312	24.933632	145
53.404036	22.135113	141.4
55.986978	22.248553	140.2
54.555393	23.362615	69
54.28534	20.49296	124.2
54.087109	23.24532	132.1
53.17812	22.059032	104
53.17812	22.059032	104
53.828053	22.364663	126.9
53.828053	22.364663	126.9
50.041187	21.99912	206.5
65.629835	171.695216	59.5
58.467129	14.975351	131.5
56.664895	16.636477	22.9
65.629835	171.695216	59.5
48.3794	31.1656	198
54.2667	27.1167	192.2
50.395579	18.634638	212.7
52.076397	20.163596	89.2
40.069099	45.038189	2768.3
40.069099	45.038189	2768.3
48.066667	14.75	301.5
48.066667	14.75	301.5
48.116667	16.85	173.1
50.0647	19.945	214
47.641775	15.161567	1225.9
47.864159	15.038217	617.2
47.559539	14.016526	878.8
47.557102	14.020907	903.3
53.1833	21.6833	98.6
