Abeomelomys sevia	26	26	0.50
Abrocoma bennettii	1	1	0.50
Abrocoma boliviensis	0	1	0.00
Abrocoma cinerea	3	3	0.50
Abrothrix andinus	39	26	0.60
Abrothrix illuteus	0	8	0.00
Abrothrix jelskii	53	63	0.46
Abrothrix longipilis	193	82	0.70
Abrothrix olivaceus	167	104	0.62
Acanthoglossus bruijnii	0	3	0.00
Acanthoglossus goodfellowi	0	2	0.00
Acerodon celebensis	14	34	0.29
Acerodon humilis	0	2	0.00
Acerodon jubatus	40	52	0.43
Acerodon leucotis	0	2	0.00
Acerodon mackloti	13	6	0.68
Acinonyx jubatus	27	31	0.47
Acinonyx ? jubatus ?	1	0	1.00
Acomys airensis	32	32	0.50
Acomys cahirinus	169	161	0.51
Acomys cineraceus	51	40	0.56
Acomys dimidiatus	60	34	0.64
Acomys ignitus	22	9	0.71
Acomys johannis	35	29	0.55
Acomys kempi	40	40	0.50
Acomys louisae	28	12	0.70
Acomys minous	6	2	0.75
Acomys mullah	4	5	0.44
Acomys muzei	3	5	0.38
Acomys nesiotes	45	47	0.49
Acomys ngurui	4	2	0.67
Acomys percivali	28	36	0.44
Acomys russatus	16	12	0.57
Acomys seurati	0	2	0.00
Acomys sp	2	2	0.50
Acomys spinosissimus	28	26	0.52
Acomys subspinosus	18	8	0.69
Acomys wilsoni	97	86	0.53
Acrobates pygmaeus	21	15	0.58
Addax nasomaculatus	2	0	1.00
Aelurops capreolus	0	1	0.00
Aepeomys lugens	8	4	0.67
Aepyceros melampus	71	27	0.72
Aepyprymnus rufescens	39	31	0.56
Aeretes melanopterus	2	2	0.50
Aeromys tephromelas	3	5	0.38
Aeromys thomasi	0	1	0.00
Aethalops alecto	34	40	0.46
Aethomys bocagei	16	26	0.38
Aethomys chrysophilus	331	278	0.54
Aethomys hindei	273	166	0.62
Aethomys ineptus	68	60	0.53
Aethomys kaiseri	340	272	0.56
Aethomys namaquensis	20	11	0.65
Aethomys nyikae	52	59	0.47
Aethomys nyikae?	2	2	0.50
Aethomys sp	1	0	1.00
Aethomys stannarius	5	5	0.50
Aethomys thomasi	33	31	0.52
Aethomys or Dasymys kaiseri or sp	1	0	1.00
Aethosciurus poensis	0	1	0.00
Aethosciurus ruwenzorii	1	1	0.50
Agrodiaetus dama	8	1	0.89
Ailuropoda melanoleuca	7	9	0.44
Ailurops ursinus	30	39	0.43
Ailurus fulgens	13	8	0.62
Akodon aerosus	184	166	0.53
Akodon affinis	32	19	0.63
Akodon albiventer	118	91	0.56
Akodon arviculoides	1	0	1.00
Akodon azarae	134	150	0.47
Akodon bogotensis	18	4	0.82
Akodon boliviensis	84	74	0.53
Akodon budini	22	8	0.73
Akodon cursor	249	127	0.66
Akodon dayi	51	56	0.48
Akodon dolores	7	11	0.39
Akodon fumeus	32	23	0.58
Akodon iniscatus	87	52	0.63
Akodon juninensis	91	78	0.54
Akodon latebricola	1	0	1.00
Akodon lutescens	100	66	0.60
