data	model	Df	Deviance	Resid. Df	Resid. Dev	Pr(>Chi)
brown bears	site_type	1	0.813259762620135	89	118.382282143274	0.367158252573486
brown bears	material	7	8.84639110271463	83	110.34915080318	0.263873548006356
brown bears	material2	2	1.04123035885766	88	118.154311547037	0.594154923632882
brown bears	lat	1	0.247555941839963	89	118.947985964054	0.61880129586875
brown bears	lon	1	5.68520814409318	89	113.510333761801	0.0171085099661969
brown bears	alt	1	5.83199345983435	89	113.36354844606	0.0157372807706637
brown bears	age	1	6.28161702510263	61	79.7648041671568	0.0121996732756361
brown bears	endog	1	2.21013954834511	89	116.985402357549	0.137106268197978
brown bears	GC	1	0.126071064578937	89	119.069470841315	0.722540991021497
brown bears	readlen	1	0.864614723449776	89	118.330927182445	0.352450508047573
brown bears	C2T	1	1.95509120839188	89	117.240450697502	0.162039279289997
brown bears	alpine	1	12.7113971248801	89	106.484144781014	0.000363433804180856
brown bears (non Alps)	material	7	13.1095215969518	59	62.7877351607117	0.0694844561356849
brown bears (non Alps)	material2	2	1.05438056911288	64	74.8428761885506	0.590261107700574
brown bears (non Alps)	site_type	1	4.22143644991964	65	71.6758203077439	0.0399163550265679
brown bears (non Alps)	lat	1	5.06256501418355	65	70.83469174348	0.0244480282045845
brown bears (non Alps)	lon	1	0.658780313323049	65	75.2384764443404	0.416990869016906
brown bears (non Alps)	alt	1	0.012628940372025	65	75.8846278172915	0.910523255598881
brown bears (non Alps)	age	1	1.84678454165718	39	47.7252071939686	0.174157834792327
brown bears (non Alps)	endog	1	0.599212283423967	65	75.2980444742395	0.438878733560365
brown bears (non Alps)	GC	1	1.90425160342895	65	73.9930051542346	0.167603200402873
brown bears (non Alps)	readlen	1	0.425141339255461	65	75.472115418408	0.514382700803908
brown bears (non Alps)	C2T	1	2.09496669913696	65	73.8022900585265	0.147784931648307
brown bears (Alps)	material	3	1.17786844634649	20	29.3748116318045	0.75831711838601
brown bears (Alps)	material2	2	0.798896040654093	21	29.7537840374969	0.670690151211294
brown bears (Alps)	alt	1	1.99758444256078	22	28.5550956355902	0.157550113292447
brown bears (Alps)	age	1	2.2532762536798	20	25.2683435742454	0.133331848573921
brown bears (Alps)	endog	1	0.412805457445589	22	30.1398746207054	0.520548989649952
brown bears (Alps)	lat	1	0.467716511760482	22	30.0849635663905	0.494039559800571
brown bears (Alps)	lon	1	0.140522133050535	22	30.4121579451005	0.707762492203665
brown bears (Alps)	GC	1	0.751303847702403	22	29.8013762304486	0.386063738604367
brown bears (Alps)	readlen	1	0.13136573077038	22	30.4213143473806	0.71702018411849
brown bears (Alps)	C2T	1	0.580499061851519	22	29.9721810162995	0.446116771089378
bison	loncat	1	0.142322809163488	175	196.130406185481	0.705982658684501
bison	site_type	1	9.78157179840957	184	200.498562851823	0.00176269566893798
bison	material	9	7.18085869970631	176	203.099275950527	0.618295677140214
bison	material2	2	2.96792522033508	183	207.312209429898	0.226737433822251
bison	lat	1	0.00336293101170781	175	196.269366063633	0.953755969594847
bison	lon	1	0.476751282884749	175	195.79597771176	0.489897548730522
bison	alt	1	0.174614058893496	174	195.539674137903	0.676043285832216
bison	age	1	0.0870624930959139	122	137.131503810463	0.767945340656849
bison	endog	1	0.141240233770077	170	197.573715750247	0.70705115199176
bison	GC	1	1.02156472947334	184	209.25856992076	0.312148138262641
bison	readlen	1	1.39750965048648	184	208.882624999747	0.237140981676933
bison	C2T	1	0.343352679209659	184	209.936781971023	0.557900355307769
bison (sediment)	material	9	6.23428949102234	164	178.934956059145	0.716259891053867
bison (sediment)	material2	2	2.81195659238651	171	182.357288957781	0.245127132173288
bison (sediment)	loncat	1	0.00383468939034515	167	177.634297856134	0.950622662968278
bison (sediment)	lat	1	0.167331340459441	167	177.470801205065	0.682494502473358
bison (sediment)	lon	1	0.00196245228204361	167	177.636170093242	0.964665611012479
bison (sediment)	alt	1	0.0372219540521996	166	177.105050911068	0.847013852402514
bison (sediment)	age	1	0.254962617216606	113	114.837594796567	0.613602220897135
bison (sediment)	endog	1	0.00554229889471003	161	177.022040699329	0.940655016087764
bison (sediment)	GC	1	0.527457644242702	172	184.641787905925	0.467677684094519
bison (sediment)	readlen	1	0.1436105465786	172	185.025635003589	0.704717699941203
bison (sediment)	C2T	1	0.21343079884025	172	184.955814751327	0.644091566099411
bison (postcrania)	material	4	2.56206387856953	98	123.444979880344	0.633557831976744
bison (postcrania)	site_type	1	7.41742355466454	101	118.589620204249	0.00645952458009883
bison (postcrania)	loncat	1	0.57527085698672	97	119.165967443536	0.448171987244314
bison (postcrania)	lat	1	0.197406396742096	97	119.543831903781	0.656822523048764
bison (postcrania)	lon	1	0.40012728541906	97	119.341111015104	0.527023528706922
bison (postcrania)	alt	1	0.0626943184331736	96	118.981075727362	0.802287049493384
bison (postcrania)	age	1	0.386669753079772	75	93.516354250705	0.534055135918011
bison (postcrania)	endog	1	0.0706064243979796	97	121.3845833681	0.790455864994453
bison (postcrania)	GC	1	0.238632877228653	101	125.768410881685	0.625195271097385
bison (postcrania)	readlen	1	0.900789956169135	101	125.106253802745	0.342569983163532
bison (postcrania)	C2T	1	0.169358191517617	101	125.837685567396	0.680682834120218
mammoths	material	8	9.67400936773871	84	100.53966538326	0.288655582065241
mammoths	loc	13	6.35965479990477	79	103.854019951094	0.932078627411494
mammoths	loc2	1	0.194878328885096	91	110.018796422114	0.658887065877878
mammoths	age	1	0.000104810299021096	88	106.351499519306	0.991831647802034
