data	model	coeff	Estimate	Std. Error	z value	Pr(>|z|)
brown bears	intercept-only	(Intercept)	0.563401703908955	0.217927619551227	2.58526984816865	0.0097302810323898
brown bears	site_type	(Intercept)	0.170617109491382	0.499142415079906	0.34182049919374	0.732485981693119
brown bears	site_type	Cave	0.474577006496802	0.546016984925325	0.869161618775846	0.384758737286449
brown bears	material	(Intercept)	0.703403533515045	0.566280554033034	1.24214672127698	0.214182433040183
brown bears	material	FlatBone	1.26952983720382	1.59673018170675	0.795081004761127	0.426566383360682
brown bears	material	LongBone	-0.54939485163433	0.628685171291474	-0.87387913175324	0.38218408036385
brown bears	material	Podial	1.10859168158331	0.985991320712569	1.12434223131106	0.260867869055251
brown bears	material	Tooth	0.434371867099644	0.74997812510892	0.579179382114058	0.562468141236983
brown bears	material	Ulna	0.860584152928157	1.72099555760262	0.500050188465894	0.617039738658101
brown bears	material	Vertebrae	-1.04797744140008	1.10635572805835	-0.947233710480515	0.343519701193426
brown bears	material	NA	-0.167496619608676	0.840367223884479	-0.199313603444036	0.842017438645272
brown bears	material2	(Intercept)	0.897515702581757	0.419399663168764	2.14000100953968	0.0323546851583623
brown bears	material2	Postcrania	-0.468115193134852	0.489169225179667	-0.956959614462497	0.33858763951461
brown bears	material2	NA	-0.335483867072871	0.774413182984377	-0.433210428804953	0.664861903177498
brown bears	lat	(Intercept)	-0.118407066366559	1.42399979845065	-0.0831510415207844	0.933731441066277
brown bears	lat	lat	0.0122863564505351	0.0254115131652362	0.483495664765971	0.628743837212041
brown bears	lon	(Intercept)	0.118600277377267	0.287060719997963	0.413153974455678	0.679493806661983
brown bears	lon	lon	0.00597790488291432	0.00272761837987546	2.19162069262316	0.0284069065302382
brown bears	alt	(Intercept)	1.30684780369707	0.405570218261115	3.22224794833356	0.00127189016557439
brown bears	alt	alt	-0.000893748180154743	0.00038928057516778	-2.29589719386727	0.0216817602407197
brown bears	age	(Intercept)	-0.263447010788408	0.347973627923548	-0.757089013786668	0.448996535513243
brown bears	age	age	5.32417994017992e-05	2.55076860797762e-05	2.08728456337763	0.0368624193221776
brown bears	endog	(Intercept)	0.824652695808454	0.287795755251124	2.86540951616497	0.0041647027425852
brown bears	endog	endog	-1.89046220794712	1.3087370698454	-1.4444935132543	0.14860020310058
brown bears	GC	(Intercept)	1.71225624721416	3.32254021943342	0.515345529062141	0.606311588957704
brown bears	GC	GC	-2.70635763144824	7.80617642194889	-0.346694397507938	0.728820919621273
brown bears	readlen	(Intercept)	2.28795402263693	1.96317963326748	1.16543284367152	0.243843829198363
