1	2	?ABB	AABB1	BABB1	AABB2	BABB2	AABB1 & AABB2	AABB1 & BABB2	AABB2 & BABB1	BABB1 & BABB2	p
(European, Steppe, Aurochs, Bubalus_bubalis)	(SteppeMN, Steppe, Aurochs, Bubalus_bubalis)	652	377	275	532	120	359	18	173	102	1.1826171810774955e-26
1	2	?ABB	AABB1	BABB1	AABB2	BABB2	AABB1 & AABB2	AABB1 & BABB2	AABB2 & BABB1	BABB1 & BABB2	p
(European, Aurochs, Steppe, Bubalus_bubalis)	(SteppeMN, Aurochs, Steppe, Bubalus_bubalis)	2851	82	2769	33	2818	11	71	22	2747	6.5414348901975066e-10
(European, Aurochs, Steppe, Bubalus_bubalis)	(Wood, Aurochs, Steppe, Bubalus_bubalis)	11022	140	10882	109	10913	83	57	26	10856	1.1158955935390772e-146
(European, Aurochs, Steppe, Bubalus_bubalis)	(Plains, Aurochs, Steppe, Bubalus_bubalis)	11017	141	10876	111	10906	85	56	26	10850	1.3353859687205737e-150
(SteppeMN, Aurochs, Steppe, Bubalus_bubalis)	(Wood, Aurochs, Steppe, Bubalus_bubalis)	2890	27	2863	62	2828	15	12	47	2816	2.2238381979235421e-19
(SteppeMN, Aurochs, Steppe, Bubalus_bubalis)	(Plains, Aurochs, Steppe, Bubalus_bubalis)	2887	25	2862	60	2827	14	11	46	2816	2.1092121179817514e-18
(Wood, Aurochs, Steppe, Bubalus_bubalis)	(Plains, Aurochs, Steppe, Bubalus_bubalis)	11115	108	11007	112	11003	105	3	7	11000	1.9755349955933104e-241
1	2	?ABB	AABB1	BABB1	AABB2	BABB2	AABB1 & AABB2	AABB1 & BABB2	AABB2 & BABB1	BABB1 & BABB2	p
(European, Bubalus_bubalis, Steppe, Ovis_aries)	(SteppeMN, Bubalus_bubalis, Steppe, Ovis_aries)	322	38	284	14	308	6	32	8	276	0.0027095440801721427
(European, Bubalus_bubalis, Steppe, Ovis_aries)	(Wood, Bubalus_bubalis, Steppe, Ovis_aries)	1191	107	1084	92	1099	85	22	7	1077	6.3260121854629201e-100
(European, Bubalus_bubalis, Steppe, Ovis_aries)	(Plains, Bubalus_bubalis, Steppe, Ovis_aries)	1189	108	1081	94	1095	85	23	9	1072	3.9843214859427703e-97
(SteppeMN, Bubalus_bubalis, Steppe, Ovis_aries)	(Wood, Bubalus_bubalis, Steppe, Ovis_aries)	327	11	316	27	300	3	8	24	292	0.053054110171901689
(SteppeMN, Bubalus_bubalis, Steppe, Ovis_aries)	(Plains, Bubalus_bubalis, Steppe, Ovis_aries)	324	10	314	27	297	3	7	24	290	0.041813614224687184
(Wood, Bubalus_bubalis, Steppe, Ovis_aries)	(Plains, Bubalus_bubalis, Steppe, Ovis_aries)	1203	93	1110	93	1110	90	3	3	1107	4.50780844638552e-128
