CHROM	POS	area	nonzero sites	target depth	max depth	mean	shape
chr1	25647320	10182	204	101	103	49.912	0.245
chr5	50079809	9557	201	72	96	47.547	0.237
chr1	148969867	9728	205	91	94	47.454	0.231
chr23	37692329	10283	212	100	104	48.505	0.229
chr4	42372380	11864	233	112	114	50.918	0.219
chr10	16524235	16190	272	129	133	59.522	0.219
chr8	9284780	13508	249	131	132	54.249	0.218
chr7	94840800	6266	171	65	65	36.643	0.214
chr26	3308702	10486	222	95	114	47.234	0.213
chr14	19938596	12671	244	104	110	51.930	0.213
chr18	15483065	13490	253	143	147	53.320	0.211
chr6	39069718	14215	260	123	125	54.673	0.210
chr5	95645753	7968	195	77	80	40.862	0.210
chr13	13552101	9733	216	91	92	45.060	0.209
chr10	86774732	10702	227	105	105	47.145	0.208
chr16	40256485	15013	270	126	135	55.604	0.206
chr23	13423540	8494	204	78	83	41.637	0.204
chr10	62081997	9871	220	94	99	44.868	0.204
chr11	83099182	8042	200	71	79	40.210	0.201
chr2	62419479	10503	229	79	105	45.865	0.200
chr11	46053491	10461	229	98	102	45.681	0.199
chr7	14402008	11473	241	106	107	47.606	0.198
chr23	41965163	10499	230	100	106	45.648	0.198
chr20	10738151	7894	200	78	79	39.470	0.197
chr5	96963751	4341	149	46	46	29.134	0.196
chr22	13951230	9207	217	82	92	42.429	0.196
chr13	6049057	10487	232	91	106	45.203	0.195
chr2	76759956	10466	232	90	94	45.112	0.194
chr22	9482433	7663	199	66	77	38.508	0.194
chr13	53809824	13697	266	112	113	51.492	0.194
chr8	3798413	8638	214	84	85	40.364	0.189
chr7	83648345	14480	277	127	131	52.274	0.189
chr22	16696578	11603	248	101	108	46.786	0.189
chr10	50789885	15252	284	132	140	53.704	0.189
chr8	31586226	10056	231	95	97	43.532	0.188
chr22	38693077	9817	229	89	92	42.869	0.187
chr13	14203334	11986	253	104	108	47.375	0.187
chr8	75650020	13785	272	118	122	50.680	0.186
chr2	110477896	11178	245	106	109	45.624	0.186
chr27	42617613	8976	221	86	90	40.615	0.184
chr16	77825966	10173	235	95	98	43.289	0.184
chr8	23688850	8169	212	77	78	38.533	0.182
chr29	12868931	10286	238	68	101	43.218	0.182
chr26	43087056	6505	189	66	71	34.418	0.182
chr5	2845071	11960	257	100	115	46.537	0.181
chr1	51598997	9639	231	88	88	41.727	0.181
chr9	91883034	9831	234	75	101	42.013	0.180
chr4	78319581	10822	245	71	100	44.171	0.180
chr3	5972715	9129	225	87	90	40.573	0.180
chr17	5829383	8921	223	82	85	40.004	0.179
chr1	135366449	6433	190	62	66	33.858	0.178
chr8	494865	9679	234	76	98	41.363	0.177
chr19	57694212	10779	247	110	115	43.640	0.177
chr15	80033853	9544	232	80	85	41.138	0.177
chr27	27940955	10798	248	106	109	43.540	0.176
chr2	65946492	10310	242	87	98	42.603	0.176
chr25	34193876	10060	239	77	88	42.092	0.176
chr23	27923153	11451	255	98	102	44.906	0.176
chr23	18373341	9829	236	84	92	41.648	0.176
chr18	15931699	8682	222	82	85	39.108	0.176
chr1	139824925	9537	233	75	90	40.931	0.176
chr6	108284990	6241	189	52	65	33.021	0.175
chr3	53495708	8537	221	76	81	38.629	0.175
chr3	43693272	7264	204	67	71	35.608	0.175
chr3	110014388	5559	178	56	59	31.230	0.175
chr27	37283993	9737	236	96	97	41.258	0.175
chr1	43317852	6390	191	63	63	33.455	0.175
chr13	3218992	12747	270	119	122	47.211	0.175
chr7	681877	9853	238	89	92	41.399	0.174
chr5	69719604	9468	233	72	89	40.635	0.174
chr26	32943985	7055	202	74	77	34.926	0.173
chr9	6299105	8703	225	80	80	38.680	0.172
